White	White ELO	Black	Black ELO	Result	Date
Anand, Viswanathan	2751	Korobov, Anton	2781	1-0	2021.07.08
Anand, Viswanathan	2751	Grischuk, Alexander	2784	1/2-1/2	2021.07.08
Anand, Viswanathan	2751	Nepomniachtchi, Ian	2791	1/2-1/2	2021.07.07
Anand, Viswanathan	2751	Van Foreest, Jorden	2543	1-0	2021.07.07
Anand, Viswanathan	2751	Saric, Ivan	2650	1/2-1/2	2021.07.09
Anand, Viswanathan	2785	Duda, Jan-Krzysztof	2799	1-0	2021.07.10
Anand, Viswanathan	2785	Kasparov, Garry	2801	1-0	2021.07.10
Anand, Viswanathan	2785	Mamedyarov, Shakhriyar	2716	1/2-1/2	2021.07.10
Anand, Viswanathan	2785	Korobov, Anton	2668	1-0	2021.07.10
Anand, Viswanathan	2785	Giri, Anish	2744	1/2-1/2	2021.07.11
Anand, Viswanathan	2785	Nepomniachtchi, Ian	2807	1-0	2021.07.11
Anand, Viswanathan	2785	Vachier-Lagrave, Maxime	2794	1/2-1/2	2021.07.11
Anand, Viswanathan	2785	Van Foreest, Jorden	2622	1-0	2021.07.11
Anand, Viswanathan	2785	Grischuk, Alexander	2765	1/2-1/2	2021.07.11
Anand, Viswanathan	2753	Kramnik, Vladimir	2753	1-0	2021.07.14
Anand, Viswanathan	2753	Kramnik, Vladimir	2753	1/2-1/2	2021.07.17
Anand, Viswanathan	2748	Erdos, Viktor	2601	1-0	2021.09.10
Anand, Viswanathan	2748	Adly, Ahmed	2597	1-0	2021.09.08
Anand, Viswanathan	2748	Xiong, Jeffery	2729	1-0	2021.09.14
Anand, Viswanathan	2770	Touzane, Olivier	2368	0-1	2021.10.06
Anand, Viswanathan	2753	Nestorovic, Nikola	2467	1-0	2021.10.15
Anand, Viswanathan	2753	Heimann, Andreas	2585	1-0	2021.10.16
Giri, Anish	2766	Anand, Viswanathan	2728	1/2-1/2	2022.06.06
Giri, Anish	2761	Anand, Viswanathan	2751	1/2-1/2	2022.06.06
Santos Latasa, Jaime	2593	Anand, Viswanathan	2731	1/2-1/2	2022.07.08
Carlsen,M	2875	Anand,V	2767	1/2-1/2	2019.06.26
So,W	2754	Anand,V	2767	1/2-1/2	2019.06.26
Giri,A	2779	Anand,V	2767	1/2-1/2	2019.06.26
