White	White ELO	Black	Black ELO	Result	Date
Aronian, Levon	2728	Erigaisi, Arjun	2450	0-1	2022.07.10
Aronian, Levon	2773	Abdusattorov, Nodirbek	2663	0-1	2022.02.26
Aronian, Levon	2773	Kovalev, Vladislav	2530	0-1	2022.02.26
Aronian, Levon	2705	Nakamura, Hikaru	2837	0-1	2022.03.13
Aronian, Levon	2773	Matlakov, Maxim	2669	0-1	2022.04.02
Aronian, Levon	2773	Hansen, Eric	2568	0-1	2022.04.02
Aronian, Levon	2773	Nakamura, Hikaru	2850	0-1	2022.04.16
Aronian, Levon	2728	Erigaisi, Arjun	2450	1-0	2022.07.14
Aronian, Levon	2775	Mchedlishvili, Mikheil	2593	1-0	2022.07.31
Aronian, Levon	2728	Le, Quang Liem	2661	1-0	2022.08.15
Aronian, Levon	2728	Duda, Jan-Krzysztof	2808	1-0	2022.08.16
Aronian, Levon	2728	Niemann, Hans Moke	2529	1-0	2022.08.20
Aronian, Levon	2728	Niemann, Hans Moke	2529	1-0	2022.08.20
Aronian, Levon	2850	Xiong, Jeffery	2714	1-0	2022.08.29
Aronian, Levon	2850	Mamedyarov, Shakhriyar	2710	1-0	2022.08.29
Aronian, Levon	2850	Dominguez Perez, Leinier	2708	1-0	2022.08.29
Aronian, Levon	2850	Nakamura, Hikaru	2850	1-0	2022.08.30
Aronian, Levon	2759	Vachier-Lagrave, Maxime	2757	1-0	2022.09.08
Aronian, Levon	2720	Theodorou, Nikolas	2543	1-0	2022.09.17
Aronian, Levon	2720	Gelfand, Boris	2641	1-0	2022.09.18
Aronian, Levon	2720	Wojtaszek, Radoslaw	2636	1-0	2022.09.18
Aronian, Levon	2720	Adhiban, B.	2538	1-0	2022.09.19
Aronian, Levon	2720	Praggnanandhaa, R	1927	1-0	2022.09.21
Aronian, Levon	2720	Ivanchuk, Vasyl	2686	1-0	2022.09.21
Aronian, Levon	2720	Matlakov, Maxim	2671	1-0	2022.09.24
Aronian, Levon	2778	Carlsen, Magnus	2881	1-0	2021.07.02
Aronian, Levon	2778	Carlsen, Magnus	2881	1-0	2021.07.01
Aronian, Levon	2778	Artemiev, Vladislav	2757	1-0	2021.07.04
Aronian, Levon	2761	Ju, Wenjun	2610	1-0	2021.08.01
Aronian, Levon	2761	Harikrishna, Pentala	2705	1-0	2021.08.01
Aronian, Levon	2761	Tari, Aryan	2531	1-0	2021.07.31
Aronian, Levon	2761	Mamedyarov, Shakhriyar	2761	1-0	2021.08.03
Aronian, Levon	2761	Adhiban, B.	2624	1-0	2021.08.02
Aronian, Levon	2761	Le, Quang Liem	2744	1-0	2021.08.06
Aronian, Levon	2761	Artemiev, Vladislav	2757	1-0	2021.08.07
Aronian, Levon	2761	Le, Quang Liem	2744	1-0	2021.08.28
Aronian, Levon	2761	Vachier-Lagrave, Maxime	2817	1-0	2021.08.28
Aronian, Levon	2761	Van Foreest, Jorden	2563	1-0	2021.08.30
Aronian, Levon	2761	Mamedyarov, Shakhriyar	2756	1-0	2021.08.31
Aronian, Levon	2761	Mamedyarov, Shakhriyar	2756	1-0	2021.08.31
Aronian, Levon	2782	Niemann, Hans Moke	2638	1-0	2021.10.28
Aronian, Levon	2782	Abdusattorov, Nodirbek	2646	1-0	2021.11.06
Aronian, Levon	2767	Neiksans, Arturs	2560	1-0	2021.11.08
Aronian, Levon	2767	Ivic, Velimir	2509	1-0	2021.11.08
Aronian, Levon	2767	Movsesian, Sergei	2632	1-0	2021.11.08
Aronian, Levon	2767	Dreev, Aleksey	2633	1-0	2021.11.08
Aronian, Levon	2767	Abdusattorov, Nodirbek	2690	1-0	2021.11.08
Aronian, Levon	2767	Dubov, Daniil	2747	1-0	2021.11.11
Aronian, Levon	2767	Dubov, Daniil	2747	1-0	2021.11.11
Aronian, Levon	2767	Dubov, Daniil	2747	1-0	2021.11.11
Aronian, Levon	2767	Radjabov, Teimour	2765	0-1	Sat Jan 02 2021
Aronian, Levon	2781	Dubov, Daniil	2710	0-1	Sat Feb 06 2021
Aronian, Levon	2781	Bluebaum, Matthias	2670	0-1	Sun Feb 07 2021
Aronian, Levon	2781	Vachier-Lagrave, Maxime	2784	0-1	Tue Feb 09 2021
Aronian, Levon	2781	Vachier-Lagrave, Maxime	2784	0-1	Wed Feb 10 2021
Aronian, Levon	2781	Mamedyarov, Shakhriyar	2770	0-1	Sat Mar 13 2021
Aronian, Levon	2781	Giri, Anish	2776	0-1	Sun Mar 14 2021
Aronian, Levon	2781	Carlsen, Magnus	2847	0-1	Tue Mar 16 2021
Aronian, Levon	2767	Dubov, Daniil	2747	1-0	2021.11.11
Aronian, Levon	2767	Dubov, Daniil	2747	1-0	2021.11.11
Aronian, Levon	2767	Dubov, Daniil	2747	1-0	2021.11.11
Aronian, Levon	2767	Dubov, Daniil	2747	1-0	2021.11.11
Aronian, Levon	2767	Dubov, Daniil	2747	1-0	2021.11.11
Aronian, Levon	2767	Dubov, Daniil	2747	1-0	2021.11.11
Aronian, Levon	2767	Le, Quang Liem	2774	1-0	2021.11.21
Aronian, Levon	2767	Shankland, Sam	2660	1-0	2021.11.21
Aronian, Levon	2767	Sadhwani, Raunak	2517	1-0	2021.11.21
Aronian, Levon	2767	Erigaisi, Arjun	2616	1-0	2021.11.21
Aronian, Levon	2767	Harika, Dronavalli	2422	1-0	2021.11.20
Aronian, Levon	2761	Adhiban, B.	2626	1-0	2021.11.17
Aronian, Levon	2740	Ding, Liren	2788	1-0	2021.12.06
Aronian, Levon	2740	Ding, Liren	2788	1-0	2021.12.06
Aronian, Levon	2740	Ding, Liren	2788	1-0	2021.12.06
Aronian, Levon	2740	Ding, Liren	2788	1-0	2021.12.06
Aronian, Levon	2740	Ding, Liren	2788	1-0	2021.12.06
Aronian, Levon	2781	Carlsen, Magnus	2847	0-1	Wed Mar 17 2021
Aronian, Levon	2781	Erigaisi, Arjun	2567	0-1	Mon Apr 05 2021
Aronian, Levon	2781	Erigaisi, Arjun	2567	0-1	Mon Apr 05 2021
Aronian, Levon	2781	Erigaisi, Arjun	2567	0-1	Mon Apr 05 2021
Aronian, Levon	2781	Erigaisi, Arjun	2567	0-1	Mon Apr 05 2021
Aronian, Levon	2781	Carlsen, Magnus	2847	0-1	Fri Apr 30 2021
Aronian, Levon	2781	Mamedyarov, Shakhriyar	2770	0-1	Sun May 02 2021
Aronian, Levon	2781	Mamedyarov, Shakhriyar	2770	0-1	Sun May 02 2021
Aronian, Levon	2781	Mamedyarov, Shakhriyar	2770	0-1	Sat May 01 2021
Aronian, Levon	2781	Mamedyarov, Shakhriyar	2770	0-1	Sat May 01 2021
Aronian, Levon	2778	Svidler, Peter	2742	0-1	2021.06.20
Aronian, Levon	2739	Vachier-Lagrave, Maxime	2822	0-1	2021.06.21
Aronian, Levon	2739	Radjabov, Teimour	2757	0-1	2021.06.22
Aronian, Levon	2761	Mamedyarov, Shakhriyar	2756	0-1	2021.08.04
Aronian, Levon	2761	Le, Quang Liem	2744	0-1	2021.08.06
Aronian, Levon	2761	Artemiev, Vladislav	2757	0-1	2021.08.08
Aronian, Levon	2761	Carlsen, Magnus	2881	0-1	2021.09.03
Aronian, Levon	2767	Erigaisi, Arjun	2616	0-1	2021.11.08
Aronian, Levon	2767	Caruana, Fabiano	2765	0-1	2021.11.08
Aronian, Levon	2767	Martirosyan, Haik M.	2656	0-1	2021.11.08
Aronian, Levon	2767	Dubov, Daniil	2747	0-1	2021.11.11
Aronian, Levon	2767	Dubov, Daniil	2747	0-1	2021.11.11
Aronian, Levon	2767	Dubov, Daniil	2747	0-1	2021.11.11
Aronian, Levon	2767	Erigaisi, Arjun	2616	0-1	2021.11.21
Aronian, Levon	2767	Maghsoodloo, Parham	2601	0-1	2021.11.20
Aronian, Levon	2767	Radjabov, Teimour	2765	1/2-1/2	Sun Jan 03 2021
Aronian, Levon	2767	Radjabov, Teimour	2765	1/2-1/2	Sun Jan 03 2021
Aronian, Levon	2767	Radjabov, Teimour	2765	1/2-1/2	Sat Jan 02 2021
Aronian, Levon	2767	Vachier-Lagrave, Maxime	2784	1/2-1/2	Fri Jan 01 2021
Aronian, Levon	2781	Vidit, Santosh Gujrathi	2726	1/2-1/2	Mon Feb 08 2021
Aronian, Levon	2781	Vachier-Lagrave, Maxime	2784	1/2-1/2	Tue Feb 09 2021
Aronian, Levon	2781	Dubov, Daniil	2710	1/2-1/2	Sun Mar 14 2021
Aronian, Levon	2781	Firouzja, Alireza	2759	1/2-1/2	Mon Mar 15 2021
Aronian, Levon	2781	Carlsen, Magnus	2847	1/2-1/2	Wed Mar 17 2021
Aronian, Levon	2781	Erigaisi, Arjun	2567	1/2-1/2	Mon Apr 05 2021
Aronian, Levon	2781	Erigaisi, Arjun	2567	1/2-1/2	Mon Apr 05 2021
Aronian, Levon	2781	Dominguez Perez, Leinier	2758	1/2-1/2	Sat Apr 24 2021
