White	White ELO	Black	Black ELO	Result	Date
Carlsen, Magnus	2864	Vachier-Lagrave, Maxime	2760	1/2-1/2	2022.06.09
Carlsen, Magnus	2864	Wang, Hao	2744	1/2-1/2	2022.05.31
Carlsen, Magnus	2864	Pechac, Jergus	2587	1/2-1/2	2022.08.06
Carlsen, Magnus	2864	Schitco, Ivan	2509	1/2-1/2	2022.08.08
Carlsen, Magnus	2834	Giri, Anish	2721	1/2-1/2	2022.08.15
Carlsen, Magnus	2834	Niemann, Hans Moke	2529	0-1	2022.08.16
Carlsen, Magnus	2834	Aronian, Levon	2728	1/2-1/2	2022.08.17
Carlsen, Magnus	2834	Duda, Jan-Krzysztof	2808	0-1	2022.08.19
Carlsen, Magnus	2834	Duda, Jan-Krzysztof	2808	0-1	2022.08.19
Carlsen, Magnus	2834	Praggnanandhaa, R	1927	0-1	2022.08.21
Carlsen, Magnus	2830	Bortnyk, Olexandr	2723	0-1	2022.08.23
Carlsen, Magnus	2864	Niemann, Hans Moke	2687	0-1	2022.09.04
Carlsen, Magnus	2861	Niemann, Hans Moke	2688	0-1	2022.09.12
Carlsen, Magnus	2834	Keymer, Vincent	2542	1-0	2022.09.21
Carlsen, Magnus	2834	Aronian, Levon	2720	0-1	2022.09.22
Carlsen, Magnus	2834	Aronian, Levon	2720	1-0	2022.09.22
Carlsen, Magnus	2834	Keymer, Vincent	2542	1-0	2022.09.23
Carlsen, Magnus	2834	Erigaisi, Arjun	2450	1-0	2022.09.24
Carlsen, Magnus	2834	Erigaisi, Arjun	2450	1-0	2022.09.25
Carlsen, Magnus	2830	Petrosyan, Manuel	2592	1-0	2022.09.27
Carlsen, Magnus	2830	Nazari, Arad	2129	1-0	2022.09.27
Carlsen, Magnus	2830	Bacrot, Etienne	2666	1-0	2022.09.27
Carlsen, Magnus	2830	Ozdemir, Serhan Berat	1882	1-0	2022.09.27
Carlsen, Magnus	2830	Makarian, Rudik	2410	1-0	2022.09.27
Carlsen, Magnus	2830	Martinez Alcantara, Jose Eduardo	2703	1-0	2022.09.27
Esipenko, Andrey	2677	Carlsen, Magnus	2862	1-0	Sun Jan 24 2021
So, Wesley	2770	Carlsen, Magnus	2862	1-0	Sat Feb 06 2021
Ding, Liren	2791	Carlsen, Magnus	2862	1-0	Mon Feb 08 2021
