White	White ELO	Black	Black ELO	Result	Date
Caruana, Fabiano	2744	Tari, Aryan	2567	1-0	2022.04.16
Caruana, Fabiano	2744	Andreikin, Dmitry	2736	1-0	2022.05.28
Caruana, Fabiano	2744	Bortnyk, Olexandr	2723	1-0	2022.05.28
Caruana, Fabiano	2784	Alekseenko, Kirill	2639	1-0	2022.02.13
Caruana, Fabiano	2744	Kovalev, Vladislav	2530	1-0	2022.02.12
Caruana, Fabiano	2744	Niemann, Hans Moke	2636	1-0	2022.02.12
Caruana, Fabiano	2847	Bharath, Subramaniyam H	2242	1-0	2022.07.16
Caruana, Fabiano	2847	Vokhidov, Shamsiddin	2619	1-0	2022.07.16
Caruana, Fabiano	2783	Maghsoodloo, Parham	2701	1-0	2022.08.03
Caruana, Fabiano	2776	Yilmaz, Mustafa	2634	1-0	2022.08.08
Caruana, Fabiano	2766	Matlakov, Maxim	2671	1-0	2022.08.19
Caruana, Fabiano	2847	Dauner, Benedikt	2256	1-0	2022.08.23
Caruana, Fabiano	2847	Goltsev, Dmitry	2258	1-0	2022.08.23
Caruana, Fabiano	2847	Makarian, Rudik	2403	1-0	2022.08.23
Caruana, Fabiano	2847	Andreikin, Dmitry	2736	1-0	2022.08.23
Caruana, Fabiano	2847	Dominguez Perez, Leinier	2708	1-0	2022.08.29
Caruana, Fabiano	2847	Shankland, Sam	2645	1-0	2022.08.30
Caruana, Fabiano	2847	Mamedyarov, Shakhriyar	2710	1-0	2022.08.30
Caruana, Fabiano	2758	Vachier-Lagrave, Maxime	2757	1-0	2022.09.05
Caruana, Fabiano	2747	Kravtsiv, Martyn	2675	1-0	2022.09.19
Caruana, Fabiano	2847	Panarin, Mikhail	2495	1-0	2022.09.20
Caruana, Fabiano	2847	Ilkhomi, Jaloliddin	1440	1-0	2022.09.20
Caruana, Fabiano	2847	Paravyan, David	2555	1-0	2022.09.20
Caruana, Fabiano	2747	Martinez Alcantara, Jose Eduardo	2645	1-0	2022.09.21
Caruana, Fabiano	2847	Abdisalimov, Abdimalik	2401	1-0	2022.09.27
Caruana, Fabiano	2820	Giri, Anish	2776	0-1	Sat Apr 24 2021
Caruana, Fabiano	2820	Mamedyarov, Shakhriyar	2770	0-1	2021.06.12
Caruana, Fabiano	2734	So, Wesley	2861	1-0	2021.08.14
Caruana, Fabiano	2734	Svidler, Peter	2743	1-0	2021.08.15
Caruana, Fabiano	2734	Le, Quang Liem	2690	1-0	2021.08.15
Caruana, Fabiano	2806	Shankland, Sam	2709	1-0	2021.08.17
Caruana, Fabiano	2806	Swiercz, Dariusz	2655	1-0	2021.08.19
Caruana, Fabiano	2800	Burke, John M	2554	1-0	2021.10.08
Caruana, Fabiano	2800	Robson, Ray	2669	1-0	2021.10.13
Caruana, Fabiano	2800	Swiercz, Dariusz	2647	1-0	2021.10.16
Caruana, Fabiano	2800	Chigaev, Maksim	2639	1-0	2021.10.27
Caruana, Fabiano	2800	Howell, David W L	2658	1-0	2021.10.31
Caruana, Fabiano	2791	Firouzja, Alireza	2770	1-0	2021.11.05
Caruana, Fabiano	2765	Tabatabaei, M. Amin	2555	1-0	2021.11.08
Caruana, Fabiano	2765	Vokhidov, Shamsiddin	2616	1-0	2021.11.08
Caruana, Fabiano	2765	Erigaisi, Arjun	2616	1-0	2021.11.08
Caruana, Fabiano	2765	Dubov, Daniil	2747	1-0	2021.11.08
Caruana, Fabiano	2765	Shevchenko, Kirill	2574	1-0	2021.11.08
Caruana, Fabiano	2765	Vachier-Lagrave, Maxime	2838	1-0	2021.11.29
Caruana, Fabiano	2765	Vachier-Lagrave, Maxime	2838	1-0	2021.11.29
Caruana, Fabiano	2765	Vachier-Lagrave, Maxime	2838	1-0	2021.11.29
Caruana, Fabiano	2765	Vachier-Lagrave, Maxime	2838	1-0	2021.11.29
Caruana, Fabiano	2765	Vachier-Lagrave, Maxime	2838	1-0	2021.11.29
Caruana, Fabiano	2765	Vachier-Lagrave, Maxime	2838	1-0	2021.11.29
Caruana, Fabiano	2803	So, Wesley	2814	1-0	2021.12.09
Caruana, Fabiano	2823	Anton Guijarro, David	2679	1/2-1/2	Sat Jan 30 2021
Caruana, Fabiano	2823	Esipenko, Andrey	2677	1/2-1/2	Thu Jan 21 2021
Caruana, Fabiano	2823	Giri, Anish	2764	1/2-1/2	Sun Jan 24 2021
Caruana, Fabiano	2773	So, Wesley	2741	0-1	2021.06.20
Caruana, Fabiano	2773	Bacrot, Etienne	2667	0-1	2021.06.20
Caruana, Fabiano	2711	Radjabov, Teimour	2757	0-1	2021.06.21
Caruana, Fabiano	2806	Jumabayev, Rinat	2637	0-1	2021.07.19
Caruana, Fabiano	2758	Rapport, Richard	2724	0-1	2021.08.13
Caruana, Fabiano	2734	Xiong, Jeffery	2724	0-1	2021.08.14
Caruana, Fabiano	2734	Dominguez Perez, Leinier	2654	0-1	2021.08.15
Caruana, Fabiano	2800	Naroditsky, Daniel	2623	0-1	2021.10.11
Caruana, Fabiano	2775	So, Wesley	2766	0-1	2021.10.19
Caruana, Fabiano	2765	Vachier-Lagrave, Maxime	2838	0-1	2021.11.29
Caruana, Fabiano	2765	Vachier-Lagrave, Maxime	2838	0-1	2021.11.29
Caruana, Fabiano	2765	Vachier-Lagrave, Maxime	2838	0-1	2021.11.29
Caruana, Fabiano	2765	Vachier-Lagrave, Maxime	2838	0-1	2021.11.29
Caruana, Fabiano	2765	Vachier-Lagrave, Maxime	2838	0-1	2021.11.29
Caruana, Fabiano	2765	Vachier-Lagrave, Maxime	2838	0-1	2021.11.29
Caruana, Fabiano	2803	So, Wesley	2814	0-1	2021.12.09
Caruana, Fabiano	2803	So, Wesley	2814	0-1	2021.12.09
Caruana, Fabiano	2803	So, Wesley	2814	0-1	2021.12.09
Caruana, Fabiano	2803	So, Wesley	2814	0-1	2021.12.09
Caruana, Fabiano	2803	So, Wesley	2814	0-1	2021.12.09
Caruana, Fabiano	2803	So, Wesley	2814	0-1	2021.12.09
Caruana, Fabiano	2803	So, Wesley	2814	0-1	2021.12.09
Caruana, Fabiano	2823	Carlsen, Magnus	2862	1/2-1/2	Wed Jan 27 2021
Caruana, Fabiano	2823	Van Foreest, Jorden	2671	1/2-1/2	Sat Jan 16 2021
Caruana, Fabiano	2823	Duda, Jan-Krzysztof	2743	1/2-1/2	Mon Jan 18 2021
Caruana, Fabiano	2820	Ding, Liren	2791	1/2-1/2	Wed Apr 21 2021
Caruana, Fabiano	2820	Grischuk, Alexander	2777	1/2-1/2	Tue Apr 27 2021
Caruana, Fabiano	2820	Firouzja, Alireza	2759	1/2-1/2	Sun May 23 2021
Caruana, Fabiano	2820	Radjabov, Teimour	2765	1/2-1/2	Sun May 23 2021
Caruana, Fabiano	2820	Aronian, Levon	2781	1/2-1/2	Sun May 23 2021
Caruana, Fabiano	2820	Vachier-Lagrave, Maxime	2760	1/2-1/2	Mon May 24 2021
Caruana, Fabiano	2773	Nepomniachtchi, Ian	2778	1/2-1/2	Thu May 27 2021
Caruana, Fabiano	2773	Nepomniachtchi, Ian	2778	1/2-1/2	Thu May 27 2021
Caruana, Fabiano	2711	Nepomniachtchi, Ian	2785	1/2-1/2	Thu May 27 2021
Caruana, Fabiano	2773	Nepomniachtchi, Ian	2778	1/2-1/2	Wed May 26 2021
Caruana, Fabiano	2773	Carlsen, Magnus	2881	1/2-1/2	Tue May 25 2021
Caruana, Fabiano	2820	Giri, Anish	2780	1/2-1/2	2021.06.09
Caruana, Fabiano	2820	Deac, Bogdan-Daniel	2627	1/2-1/2	2021.06.14
Caruana, Fabiano	2773	Nepomniachtchi, Ian	2778	1/2-1/2	2021.06.18
Caruana, Fabiano	2773	Vachier-Lagrave, Maxime	2860	1/2-1/2	2021.06.18
Caruana, Fabiano	2711	Nepomniachtchi, Ian	2785	1/2-1/2	2021.06.22
Caruana, Fabiano	2711	Vachier-Lagrave, Maxime	2822	1/2-1/2	2021.06.22
Caruana, Fabiano	2711	Svidler, Peter	2754	1/2-1/2	2021.06.21
Caruana, Fabiano	2711	Aronian, Levon	2739	1/2-1/2	2021.06.22
Caruana, Fabiano	2711	Kramnik, Vladimir	2797	1/2-1/2	2021.06.21
Caruana, Fabiano	2711	Rapport, Richard	2759	1/2-1/2	2021.06.21
Caruana, Fabiano	2758	Svidler, Peter	2745	1/2-1/2	2021.08.11
Mamedyarov, Shakhriyar	2770	Caruana, Fabiano	2820	1-0	Sun May 23 2021
