White	White ELO	Black	Black ELO	Result	Date
Ding, Liren	2791	Dominguez Perez, Leinier	2758	1-0	Sat Feb 06 2021
Ding, Liren	2791	Vidit, Santosh Gujrathi	2726	1-0	Sun Feb 07 2021
Ding, Liren	2791	Carlsen, Magnus	2862	1-0	Mon Feb 08 2021
Ding, Liren	2791	Grischuk, Alexander	2777	1-0	Sat Apr 24 2021
Ding, Liren	2791	Nepomniachtchi, Ian	2789	1-0	Tue Apr 27 2021
Ding, Liren	2799	Pichot, Alan	2630	1-0	Sun May 23 2021
Ding, Liren	2799	Grischuk, Alexander	2776	1-0	Sun May 23 2021
Ding, Liren	2836	Artemiev, Vladislav	2757	1-0	2021.06.26
Ding, Liren	2836	Svidler, Peter	2742	1-0	2021.06.27
Ding, Liren	2836	Duda, Jan-Krzysztof	2774	1-0	2021.06.30
Ding, Liren	2836	Artemiev, Vladislav	2757	1-0	2021.07.02
Ding, Liren	2836	Artemiev, Vladislav	2757	1-0	2021.07.01
Ding, Liren	2836	Carlsen, Magnus	2881	1-0	2021.07.04
Ding, Liren	2836	Carlsen, Magnus	2881	1-0	2021.07.04
Ding, Liren	2836	Batchuluun, Tsegmed	2445	1-0	2021.09.08
Ding, Liren	2836	Duda, Jan-Krzysztof	2801	1-0	2021.09.13
Ding, Liren	2836	Sethuraman, S.P.	2556	1-0	2021.10.16
Ding, Liren	2836	Giri, Anish	2767	1-0	2021.10.17
Nakamura, Hikaru	2760	Ding, Liren	2806	1/2-1/2	2022.06.23
Nepomniachtchi, Ian	2766	Ding, Liren	2806	1/2-1/2	2022.06.26
Martinez Alcantara, Jose Eduardo	2645	Ding, Liren	2836	1/2-1/2	2022.08.19
Maghsoodloo, Parham	2589	Ding, Liren	2836	1/2-1/2	2022.08.20
So, Wesley	2784	Ding, Liren	2836	1/2-1/2	2022.08.20
Esipenko, Andrey	2694	Ding, Liren	2836	1/2-1/2	2022.09.24
Esipenko, Andrey	2694	Ding, Liren	2836	1/2-1/2	2022.09.24
Ding, Liren	0	So, Wesley	0	0-1	Sat Nov 23 2019
Ding, Liren	0	Vidit, Santosh Gujrathi	0	0-1	Mon Nov 25 2019
Ding, Liren	0	Harikrishna, P.	0	0-1	Tue Nov 26 2019
Ding, Liren	0	Vachier-Lagrave, Maxime	0	0-1	Sun Dec 08 2019
Ding Liren	2813	Smirnov,Ant	2569	0-1	2019.01.08
Ding Liren	2805	Wei Yi	2736	0-1	2019.05.08
Ding Liren	2805	Nepomniachtchi,I	2773	0-1	2019.05.11
Ding Liren	2805	So,W	2754	0-1	2019.05.11
Ding Liren	2805	Anand,V	2774	0-1	2019.05.25
Ding Liren	2805	Yu Yangyi	2738	0-1	2019.06.03
Ding Liren	2805	Vachier Lagrave,M	2779	0-1	2019.06.03
Ding Liren	2805	Carlsen,M	2875	0-1	2019.06.26
Ding Liren	2805	Yu Yangyi	2752	0-1	2019.08.13
Ding Liren	2805	Aronian,L	2765	0-1	2019.08.13
Ding Liren	2811	Shankland,S	2705	0-1	2019.09.02
Ding Liren	2811	Movsesian,S	2654	1-0	2019.09.10
Ding Liren	2811	Press,S	1954	1-0	2019.09.10
Ding Liren	2811	Alekseenko,K	2671	1-0	2019.09.10
Ding Liren	2811	Firouzja,Alireza	2702	1-0	2019.09.10
Ding Liren	2811	Grischuk,A	2759	1-0	2019.09.10
Ding Liren	2811	Yu Yangyi	2763	1-0	2019.09.10
Ding Liren	2811	Radjabov,T	2758	1-0	2019.09.10
Ding Liren	2811	Nepomniachtchi,I	2776	1-0	2019.09.02
Ding Liren	2811	Nepomniachtchi,I	2776	1-0	2019.09.02
Ding Liren	2811	Nepomniachtchi,I	2776	1-0	2019.09.02
Ding, Liren	0	Anand, Viswanathan	0	1/2-1/2	Fri Nov 22 2019
Ding, Liren	0	Vidit, Santosh Gujrathi	0	1/2-1/2	Fri Nov 22 2019
Ding, Liren	0	Aronian, Levon	0	1/2-1/2	Sat Nov 23 2019
Ding, Liren	0	Giri, Anish	0	1/2-1/2	Sun Nov 24 2019
Ding, Liren	0	Nakamura, Hikaru	0	1/2-1/2	Mon Nov 25 2019
Ding, Liren	0	Nepomniachtchi, Ian	0	1/2-1/2	Mon Nov 25 2019
Ding, Liren	0	Anand, Viswanathan	0	1/2-1/2	Mon Nov 25 2019
Ding, Liren	0	So, Wesley	0	1/2-1/2	Tue Nov 26 2019
Ding, Liren	0	Giri, Anish	0	1/2-1/2	Tue Nov 26 2019
Ding, Liren	0	Aronian, Levon	0	1/2-1/2	Tue Dec 03 2019
Ding, Liren	0	Aronian, Levon	0	1/2-1/2	Wed Dec 04 2019
Ding, Liren	0	Vachier-Lagrave, Maxime	0	1/2-1/2	Sun Dec 08 2019
Ding Liren	2813	Carlsen,M	2835	1/2-1/2	2019.01.12
Ding Liren	2813	Vidit,S	2695	1/2-1/2	2019.01.12
Ding Liren	2813	Fedoseev,Vl3	2724	1/2-1/2	2019.01.12
Ding Liren	2813	Radjabov,T	2757	1/2-1/2	2019.01.12
Ding Liren	2813	Nepomniachtchi,I	2763	1/2-1/2	2019.01.12
Ding Liren	2813	Anand,V	2773	1/2-1/2	2019.01.12
Ding Liren	2811	Shankland,S	2705	0-1	2019.09.02
Ding Liren	2811	Radjabov,T	2758	0-1	2019.09.10
Ding Liren	2811	Nepomniachtchi,I	2776	0-1	2019.09.02
Ding Liren	2811	Nepomniachtchi,I	2776	0-1	2019.09.02
Ding Liren	2811	Nepomniachtchi,I	2776	0-1	2019.09.02
Ding Liren	2811	Nepomniachtchi,I	2776	0-1	2019.09.02
Ding Liren	2811	Nepomniachtchi,I	2776	0-1	2019.09.02
Ding Liren	2813	Mamedyarov,S	2817	1/2-1/2	2019.01.12
Ding Liren	2813	Caruana,F	2828	1/2-1/2	2019.01.08
Ding Liren	2812	Karjakin,Sergey	2753	1/2-1/2	2019.03.05
Ding Liren	2812	Maghsoodloo,Parham	2673	1/2-1/2	2019.03.05
Ding Liren	2812	Anand,V	2779	1/2-1/2	2019.03.31
Ding Liren	2812	Carlsen,M	2845	1/2-1/2	2019.03.31
Ding Liren	2812	Giri,A	2797	1/2-1/2	2019.03.31
Ding Liren	2809	Rapport,R	2726	1/2-1/2	2019.04.17
Ding Liren	2809	Giri,A	2797	1/2-1/2	2019.04.17
Ding Liren	2809	Yu Yangyi	2751	1/2-1/2	2019.04.17
Ding Liren	2805	Topalov,V	2740	1/2-1/2	2019.05.08
Ding Liren	2805	Carlsen,M	2861	1/2-1/2	2019.05.11
Ding Liren	2805	Wei Yi	2736	1/2-1/2	2019.05.11
Ding Liren	2805	Nakamura,Hi	2761	1/2-1/2	2019.05.11
Ding Liren	2805	Vachier Lagrave,M	2780	1/2-1/2	2019.05.11
Ding Liren	2805	Carlsen,M	2861	1/2-1/2	2019.05.25
Ding Liren	2805	Grischuk,A	2775	1/2-1/2	2019.06.03
Ding Liren	2805	Anand,V	2767	1/2-1/2	2019.06.03
Ding Liren	2805	So,W	2754	1/2-1/2	2019.06.04
Ding Liren	2805	Aronian,L	2752	1/2-1/2	2019.06.04
Ding Liren	2805	Aronian,L	2752	1/2-1/2	2019.06.04
Ding Liren	2805	Grischuk,A	2775	1/2-1/2	2019.06.04
Ding Liren	2805	Grischuk,A	2775	1/2-1/2	2019.06.04
Ding Liren	2805	Navara,D	2734	1/2-1/2	2019.06.17
Ding Liren	2805	Navara,D	2734	1/2-1/2	2019.06.17
Ding Liren	2805	Karjakin,Sergey	2748	1/2-1/2	2019.06.26
Ding Liren	2805	Nakamura,Hi	2754	1/2-1/2	2019.06.26
Ding Liren	2805	Aronian,L	2752	1/2-1/2	2019.06.26
Ding Liren	2812	Andreikin,D	2727	1/2-1/2	2019.07.15
Ding Liren	2812	Andreikin,D	2727	1/2-1/2	2019.07.15
Ding Liren	2805	Rapport,R	2747	1/2-1/2	2019.08.10
Ding Liren	2805	Karjakin,Sergey	2750	1/2-1/2	2019.08.10
Ding Liren	2805	Caruana,F	2818	1/2-1/2	2019.08.10
Ding Liren	2805	So,W	2776	1/2-1/2	2019.08.17
Ding Liren	2805	Karjakin,Sergey	2750	1/2-1/2	2019.08.13
Ding Liren	2805	Mamedyarov,S	2764	1/2-1/2	2019.08.13
Ding Liren	2805	Vachier Lagrave,M	2778	1/2-1/2	2019.08.17
Ding Liren	2805	Anand,V	2756	1/2-1/2	2019.08.17
Ding Liren	2805	Mamedyarov,S	2764	1/2-1/2	2019.08.17
Ding Liren	2805	Carlsen,M	2882	1/2-1/2	2019.08.29
Ding Liren	2811	Shankland,S	2705	1/2-1/2	2019.09.02
Ding Liren	2811	Shankland,S	2705	1/2-1/2	2019.09.02
Ding Liren	2811	Shankland,S	2705	1/2-1/2	2019.09.02
Ding Liren	2811	Shankland,S	2705	1/2-1/2	2019.09.02
Ding Liren	2811	Shankland,S	2705	1/2-1/2	2019.09.02
Ding Liren	2811	Shankland,S	2705	1/2-1/2	2019.09.02
Ding Liren	2811	Shankland,S	2705	1/2-1/2	2019.09.02
Ding Liren	2811	Movsesian,S	2654	1/2-1/2	2019.09.10
Ding Liren	2811	Alekseenko,K	2671	1/2-1/2	2019.09.10
Ding Liren	2811	Firouzja,Alireza	2702	1/2-1/2	2019.09.10
Carlsen, Magnus	0	Ding, Liren	0	1-0	Sun Nov 24 2019
Aronian, Levon	0	Ding, Liren	0	1-0	Mon Nov 25 2019
Aronian, Levon	0	Ding, Liren	0	1-0	Wed Dec 04 2019
Vachier-Lagrave, Maxime	0	Ding, Liren	0	1-0	Sun Dec 08 2019
Vachier-Lagrave, Maxime	0	Ding, Liren	0	1-0	Sun Dec 08 2019
Adly,A	2611	Ding Liren	2813	1-0	2019.01.08
Navara,D	2739	Ding Liren	2812	1-0	2019.03.31
Harikrishna,P	2723	Ding Liren	2809	1-0	2019.04.17
Nakamura,Hi	2761	Ding Liren	2805	1-0	2019.05.08
Nakamura,Hi	2761	Ding Liren	2805	1-0	2019.05.11
Ding Liren	2811	Yu Yangyi	2763	1/2-1/2	2019.09.10
Ding Liren	2811	Radjabov,T	2758	1/2-1/2	2019.09.10
Ding Liren	2811	Radjabov,T	2758	1/2-1/2	2019.09.10
Ding Liren	2811	Radjabov,T	2758	1/2-1/2	2019.09.10
Ding Liren	2811	Nepomniachtchi,I	2776	1/2-1/2	2019.09.02
Ding Liren	2811	Nepomniachtchi,I	2776	1/2-1/2	2019.09.02
Ding Liren	2811	Nepomniachtchi,I	2776	1/2-1/2	2019.09.02
Ding Liren	2811	Nepomniachtchi,I	2776	1/2-1/2	2019.09.02
Ding Liren	2811	Nepomniachtchi,I	2776	1/2-1/2	2019.09.02
Ding Liren	2811	Nepomniachtchi,I	2776	1/2-1/2	2019.09.02
Ding Liren	2811	Nepomniachtchi,I	2776	1/2-1/2	2019.09.02
Ding Liren	2801	Wang Hao	2756	1/2-1/2	2019.12.22
Ding Liren	2801	Bu Xiangzhi	2705	1/2-1/2	2019.12.22
Ding Liren	2801	Yu Yangyi	2738	1/2-1/2	2019.12.22
Ding Liren	2801	Bu Xiangzhi	2705	1/2-1/2	2019.12.23
Carlsen, Magnus	0	Ding, Liren	0	0-1	Mon Nov 25 2019
Harikrishna, P.	0	Ding, Liren	0	0-1	Mon Nov 25 2019
Nepomniachtchi, Ian	0	Ding, Liren	0	0-1	Sat Nov 23 2019
Nepomniachtchi,I	2773	Ding Liren	2805	1-0	2019.05.11
Amin,B	2704	Ding Liren	2805	1-0	2019.05.11
Yu Yangyi	2738	Ding Liren	2805	1-0	2019.06.04
Anand,V	2767	Ding Liren	2805	1-0	2019.06.04
Carlsen,M	2875	Ding Liren	2805	1-0	2019.06.04
Vachier Lagrave,M	2779	Ding Liren	2805	1-0	2019.06.04
So,W	2754	Ding Liren	2805	1-0	2019.06.26
Andreikin,D	2727	Ding Liren	2812	1-0	2019.07.15
Vachier Lagrave,M	2778	Ding Liren	2805	1-0	2019.08.10
Carlsen,M	2882	Ding Liren	2805	1-0	2019.08.13
Shankland,S	2705	Ding Liren	2811	1-0	2019.09.02
Shankland,S	2705	Ding Liren	2811	1-0	2019.09.02
Shankland,S	2705	Ding Liren	2811	1-0	2019.09.02
Radjabov,T	2758	Ding Liren	2811	1-0	2019.09.10
Radjabov,T	2758	Ding Liren	2811	1-0	2019.09.10
Nepomniachtchi,I	2776	Ding Liren	2811	1-0	2019.09.02
Nepomniachtchi,I	2776	Ding Liren	2811	1-0	2019.09.02
Nepomniachtchi,I	2776	Ding Liren	2811	1-0	2019.09.02
Nepomniachtchi,I	2776	Ding Liren	2811	1-0	2019.09.02
Nepomniachtchi,I	2776	Ding Liren	2811	1-0	2019.09.02
Nepomniachtchi,I	2776	Ding Liren	2811	1-0	2019.09.02
Nepomniachtchi,I	2776	Ding Liren	2811	1-0	2019.09.02
