White	White ELO	Black	Black ELO	Result	Date
Nepomniachtchi, Ian	2766	Firouzja, Alireza	2793	1-0	2022.06.21
Firouzja, Alireza	2793	Duda, Jan-Krzysztof	2750	1/2-1/2	2022.06.22
Firouzja, Alireza	2793	Radjabov, Teimour	2753	1/2-1/2	2022.06.26
Firouzja, Alireza	2670	Topalov, Veselin	2627	1/2-1/2	2022.07.23
Praggnanandhaa, R	1927	Firouzja, Alireza	2704	1-0	2022.08.15
Praggnanandhaa, R	1927	Firouzja, Alireza	2704	1-0	2022.08.15
Le, Quang Liem	2661	Firouzja, Alireza	2704	0-1	2022.08.16
Firouzja, Alireza	2704	Le, Quang Liem	2661	1/2-1/2	2022.08.16
Firouzja, Alireza	2704	Giri, Anish	2721	1/2-1/2	2022.08.17
Firouzja, Alireza	2704	Giri, Anish	2721	1/2-1/2	2022.08.17
Firouzja, Alireza	2704	Giri, Anish	2721	1/2-1/2	2022.08.17
Duda, Jan-Krzysztof	2808	Firouzja, Alireza	2704	1-0	2022.08.18
Firouzja, Alireza	2704	Carlsen, Magnus	2834	1/2-1/2	2022.08.20
Carlsen, Magnus	2834	Firouzja, Alireza	2704	1-0	2022.08.20
Carlsen, Magnus	2834	Firouzja, Alireza	2704	1-0	2022.08.20
Firouzja, Alireza	2704	Carlsen, Magnus	2834	1/2-1/2	2022.08.20
Firouzja, Alireza	2704	Aronian, Levon	2728	1/2-1/2	2022.08.21
Nakamura, Hikaru	2837	Firouzja, Alireza	2704	0-1	2022.08.26
Firouzja, Alireza	2704	Shankland, Sam	2616	1/2-1/2	2022.08.26
Firouzja, Alireza	2704	Nepomniachtchi, Ian	2795	1/2-1/2	2022.08.28
Firouzja, Alireza	2704	Aronian, Levon	2728	1/2-1/2	2022.08.28
Firouzja, Alireza	2795	Nakamura, Hikaru	2850	1/2-1/2	2022.08.29
Firouzja, Alireza	2795	Caruana, Fabiano	2847	1/2-1/2	2022.08.29
Firouzja, Alireza	2778	Caruana, Fabiano	2776	1/2-1/2	2022.09.02
Nepomniachtchi, Ian	2792	Firouzja, Alireza	2778	1-0	2022.09.03
Nakamura, Hikaru	2736	Firouzja, Alireza	2759	0-1	Wed Apr 07 2021
Nakamura, Hikaru	2736	Firouzja, Alireza	2759	0-1	Wed Apr 07 2021
Nakamura, Hikaru	2736	Firouzja, Alireza	2759	0-1	Wed Apr 07 2021
Nakamura, Hikaru	2736	Firouzja, Alireza	2759	0-1	Wed Apr 07 2021
Tang, Andrew	2538	Firouzja, Alireza	2759	0-1	Wed Apr 07 2021
Tang, Andrew	2538	Firouzja, Alireza	2759	0-1	Wed Apr 07 2021
Tang, Andrew	2538	Firouzja, Alireza	2759	0-1	Wed Apr 07 2021
Tang, Andrew	2538	Firouzja, Alireza	2759	0-1	Wed Apr 07 2021
Tang, Andrew	2538	Firouzja, Alireza	2759	0-1	Wed Apr 07 2021
Tang, Andrew	2538	Firouzja, Alireza	2759	0-1	Wed Apr 07 2021
Christiansen, Johan-Sebastian	2618	Firouzja, Alireza	2759	0-1	Sun Apr 25 2021
Mamedyarov, Shakhriyar	2770	Firouzja, Alireza	2759	0-1	Sun May 23 2021
Nakamura, Hikaru	2829	Firouzja, Alireza	2703	0-1	Tue May 25 2021
Dubov, Daniil	2770	Firouzja, Alireza	2703	0-1	Tue May 25 2021
Rapport, Richard	2759	Firouzja, Alireza	2770	0-1	2021.06.21
Nepomniachtchi, Ian	2785	Firouzja, Alireza	2770	0-1	2021.06.21
Kramnik, Vladimir	2797	Firouzja, Alireza	2770	0-1	2021.06.21
Radjabov, Teimour	2757	Firouzja, Alireza	2770	0-1	2021.06.21
Adhiban, B.	2624	Firouzja, Alireza	2703	0-1	2021.06.27
Gukesh, D	1927	Firouzja, Alireza	2703	0-1	2021.06.27
Salem, A.R. Saleh	2718	Firouzja, Alireza	2703	0-1	2021.06.28
Anton Guijarro, David	2674	Firouzja, Alireza	2696	0-1	2021.08.01
Koneru, Humpy	2483	Firouzja, Alireza	2696	0-1	2021.08.01
Hansen, Eric	2579	Firouzja, Alireza	2696	0-1	2021.08.29
Dominguez Perez, Leinier	2786	Firouzja, Alireza	2696	0-1	2021.08.30
Grandelius, Nils	2663	Firouzja, Alireza	2749	1/2-1/2	Wed Jan 27 2021
Giri, Anish	2764	Firouzja, Alireza	2749	1/2-1/2	Sat Jan 30 2021
Vachier-Lagrave, Maxime	2784	Firouzja, Alireza	2749	1/2-1/2	Sun Jan 17 2021
Tari, Aryan	2625	Firouzja, Alireza	2749	1/2-1/2	Tue Jan 19 2021
Vachier-Lagrave, Maxime	2758	Firouzja, Alireza	2759	1/2-1/2	Sat Mar 13 2021
Giri, Anish	2776	Firouzja, Alireza	2759	1/2-1/2	Sat Mar 13 2021
Aronian, Levon	2781	Firouzja, Alireza	2759	1/2-1/2	Mon Mar 15 2021
So, Wesley	2770	Firouzja, Alireza	2759	1/2-1/2	Tue Mar 16 2021
Artemiev, Vladislav	2709	Firouzja, Alireza	2759	1/2-1/2	Tue Apr 06 2021
Artemiev, Vladislav	2709	Firouzja, Alireza	2759	1/2-1/2	Tue Apr 06 2021
Le, Quang Liem	2709	Firouzja, Alireza	2759	1/2-1/2	Sat Apr 24 2021
Praggnanandhaa, R	2608	Firouzja, Alireza	2759	1/2-1/2	Mon Apr 26 2021
Mamedyarov, Shakhriyar	2770	Firouzja, Alireza	2759	1/2-1/2	Tue Apr 27 2021
Mamedyarov, Shakhriyar	2770	Firouzja, Alireza	2759	1/2-1/2	Wed Apr 28 2021
Vidit, Santosh Gujrathi	2726	Firouzja, Alireza	2759	1/2-1/2	Sun Apr 25 2021
Caruana, Fabiano	2820	Firouzja, Alireza	2759	1/2-1/2	Sun May 23 2021
Le, Quang Liem	2744	Firouzja, Alireza	2696	0-1	2021.08.29
So, Wesley	2774	Firouzja, Alireza	2696	0-1	2021.08.31
Artemiev, Vladislav	2757	Firouzja, Alireza	2696	0-1	2021.09.03
Karjakin, Sergey	2758	Firouzja, Alireza	2754	0-1	2021.09.15
Tari, Aryan	2642	Firouzja, Alireza	2754	0-1	2021.09.16
Swiercz, Dariusz	2647	Firouzja, Alireza	2770	0-1	2021.10.28
Erdos, Viktor	2615	Firouzja, Alireza	2770	0-1	2021.11.14
Ragger, Markus	2668	Firouzja, Alireza	2770	0-1	2021.11.12
Sargissian, Gabriel	2664	Firouzja, Alireza	2770	0-1	2021.11.16
So, Wesley	2770	Firouzja, Alireza	2759	1/2-1/2	Sun May 23 2021
Ding, Liren	2799	Firouzja, Alireza	2759	1/2-1/2	Mon May 24 2021
Bacrot, Etienne	2667	Firouzja, Alireza	2703	1/2-1/2	2021.06.19
