White	White ELO	Black	Black ELO	Result	Date
Giri, Anish	2761	Radjabov, Teimour	2753	1-0	2022.06.05
Giri, Anish	2761	Tari, Aryan	2663	1-0	2022.06.09
Giri, Anish	2761	Topalov, Veselin	2730	1-0	2022.05.31
Giri, Anish	2721	Radjabov, Teimour	2747	1-0	2022.07.11
Giri, Anish	2721	Wojtaszek, Radoslaw	2636	1-0	2022.07.11
Giri, Anish	2766	Movsesian, Sergei	2584	1-0	2022.04.02
Giri, Anish	2766	Bortnyk, Olexandr	2723	1-0	2022.04.02
Giri, Anish	2766	Dreev, Aleksey	2625	1-0	2022.04.02
Giri, Anish	2766	Hess, Robert	2557	1-0	2022.04.16
Giri, Anish	2766	Vidit, Santosh Gujrathi	2654	1-0	2022.04.16
Giri, Anish	2766	Erigaisi, Arjun	2745	1-0	2022.04.30
Giri, Anish	2766	Bluebaum, Matthias	2556	1-0	2022.05.07
Giri, Anish	2766	Kamsky, Gata	2645	1-0	2022.05.07
Giri, Anish	2766	Niemann, Hans Moke	2632	1-0	2022.04.30
Giri, Anish	2766	Sadhwani, Raunak	2616	1-0	2022.05.14
Giri, Anish	2766	Dreev, Aleksey	2636	1-0	2022.02.12
Giri, Anish	2721	Niemann, Hans Moke	2529	1-0	2022.07.13
Giri, Anish	2721	Tari, Aryan	2531	1-0	2022.07.15
Giri, Anish	2760	Hansen, Eric	2606	1-0	2022.08.02
Giri, Anish	2760	Jobava, Baadur	2585	1-0	2022.08.03
Giri, Anish	2760	Erdos, Viktor	2589	1-0	2022.08.06
Giri, Anish	2721	Niemann, Hans Moke	2529	1-0	2022.08.18
Giri, Anish	2721	Aronian, Levon	2728	1-0	2022.08.19
Giri, Anish	2721	Ju, Wenjun	2600	1-0	2022.09.15
Giri, Anish	2721	Adhiban, B.	2538	1-0	2022.09.18
Giri, Anish	2766	Anand, Viswanathan	2728	1/2-1/2	2022.06.06
Giri, Anish	2761	Anand, Viswanathan	2751	1/2-1/2	2022.06.06
Giri, Anish	2761	Topalov, Veselin	2730	1/2-1/2	2022.05.31
Giri, Anish	2766	So, Wesley	2814	1/2-1/2	2022.06.02
Giri, Anish	2761	So, Wesley	2766	1/2-1/2	2022.06.02
Anish Giri	0	Lars Vistisen	0	0-1	2022.06.19
Giri, Anish	2721	Xiong, Jeffery	2725	0-1	2022.07.10
Giri, Anish	2721	Sevian, Samuel	2569	1/2-1/2	2022.07.10
Giri, Anish	2766	Maghsoodloo, Parham	2630	0-1	2022.04.02
Giri, Anish	2766	Andreikin, Dmitry	2736	1/2-1/2	2022.04.16
Giri, Anish	2766	Paravyan, David	2569	1/2-1/2	2022.04.16
Giri, Anish	2766	Nakamura, Hikaru	2850	1/2-1/2	2022.04.30
Giri, Anish	2766	Xiong, Jeffery	2727	0-1	2022.05.14
Giri, Anish	2730	Maghsoodloo, Parham	2634	0-1	2022.05.08
Giri, Anish	2721	Duda, Jan-Krzysztof	2808	0-1	2022.07.14
Giri, Anish	2721	Carlsen, Magnus	2834	0-1	2022.08.15
Giri, Anish	2721	Praggnanandhaa, R	1927	0-1	2022.08.16
Giri, Anish	2721	Niemann, Hans Moke	2529	0-1	2022.08.18
Giri, Anish	2721	Le, Quang Liem	2661	0-1	2022.08.20
Giri, Anish	2721	Duda, Jan-Krzysztof	2808	0-1	2022.08.21
Giri, Anish	2721	Navara, David	2659	1-0	2022.09.19
Giri, Anish	2721	Niemann, Hans Moke	2529	1-0	2022.09.20
Giri, Anish	2721	Aronian, Levon	2720	0-1	2022.09.20
Giri, Anish	2721	Sadhwani, Raunak	2533	1-0	2022.09.24
Giri, Anish	2721	Sadhwani, Raunak	2533	1-0	2022.09.24
Giri, Anish	2766	Sevian, Samuel	2698	1/2-1/2	2022.05.07
Giri, Anish	2766	Oparin, Grigoriy	2665	1/2-1/2	2022.04.30
Giri, Anish	2766	Ponkratov, Pavel	2487	1/2-1/2	2022.05.14
Giri, Anish	2766	Azarov, Sergei	2494	1/2-1/2	2022.05.14
Giri, Anish	2744	Nepomniachtchi, Ian	2821	1/2-1/2	2022.02.13
Giri, Anish	2744	Kovalev, Vladislav	2505	1/2-1/2	2022.02.13
Giri, Anish	2744	Caruana, Fabiano	2784	1/2-1/2	2022.02.13
Giri, Anish	2766	So, Wesley	2814	1/2-1/2	2022.02.12
Giri, Anish	2766	Caruana, Fabiano	2744	1/2-1/2	2022.02.12
Giri, Anish	2766	Paravyan, David	2569	1/2-1/2	2022.02.12
