White	White ELO	Black	Black ELO	Result	Date
Karjakin, Sergey	2757	Dubov, Daniil	2710	1/2-1/2	Sat Mar 13 2021
Karjakin, Sergey	2757	So, Wesley	2770	0-1	Sat Mar 13 2021
Karjakin, Sergey	2757	Mamedyarov, Shakhriyar	2770	0-1	Mon Mar 15 2021
Karjakin, Sergey	2757	Duda, Jan-Krzysztof	2729	1/2-1/2	Sat Apr 24 2021
Karjakin, Sergey	2757	Tari, Aryan	2639	0-1	Mon Apr 26 2021
Karjakin, Sergey	2757	So, Wesley	2770	0-1	Sun Apr 25 2021
Karjakin, Sergey	2757	Le, Quang Liem	2709	1/2-1/2	Sun Apr 25 2021
Karjakin, Sergey	2757	Oparin, Grigoriy	2654	1/2-1/2	2021.07.19
Karjakin, Sergey	2757	Artemiev, Vladislav	2704	1/2-1/2	2021.07.22
Karjakin, Sergey	2709	Artemiev, Vladislav	2757	1/2-1/2	2021.07.24
Karjakin, Sergey	2757	Vachier-Lagrave, Maxime	2749	1/2-1/2	2021.07.26
Karjakin, Sergey	2709	Vachier-Lagrave, Maxime	2831	1/2-1/2	2021.07.27
Karjakin, Sergey	2709	Vachier-Lagrave, Maxime	2831	1/2-1/2	2021.07.27
Karjakin, Sergey	2757	Duda, Jan-Krzysztof	2738	1/2-1/2	2021.08.04
Karjakin, Sergey	2765	Esipenko, Andrey	2595	0-1	2021.08.16
Karjakin, Sergey	2765	Karpov, Anatoly	2607	1/2-1/2	2021.08.16
Karjakin, Sergey	2765	Predke, Alexandr	2642	0-1	2021.08.16
Karjakin, Sergey	2765	Alekseenko, Kirill	2580	0-1	2021.08.16
Karjakin, Sergey	2765	Potkin, Vladimir	2443	1/2-1/2	2021.08.16
Karjakin, Sergey	2758	Rapport, Richard	2760	1/2-1/2	2021.09.08
Karjakin, Sergey	2758	Rapport, Richard	2760	1/2-1/2	2021.09.08
Karjakin, Sergey	2758	Nepomniachtchi, Ian	2792	1/2-1/2	2021.09.13
Karjakin, Sergey	2758	Firouzja, Alireza	2754	0-1	2021.09.15
Karjakin, Sergey	2758	Tari, Aryan	2642	1/2-1/2	2021.09.17
Karjakin, Sergey	2757	Sasikiran, Krishnan	2577	1-0	2021.10.11
Artemiev, Vladislav	0	Karjakin, Sergey	0	0-1	Fri Nov 08 2019
Giri, Anish	0	Karjakin, Sergey	0	0-1	Sat Nov 09 2019
Mamedyarov, Shakhriyar	0	Karjakin, Sergey	0	0-1	Sat Nov 09 2019
Le, Quang Liem	0	Karjakin, Sergey	0	0-1	Sun Nov 10 2019
Aronian, Levon	0	Karjakin, Sergey	0	0-1	Sun Nov 10 2019
Khusnutdinov, Rustam	0	Karjakin, Sergey	0	0-1	Sun Dec 29 2019
Bluebaum, Matthias	0	Karjakin, Sergey	0	0-1	Sun Dec 29 2019
Xu, Yinglun	0	Karjakin, Sergey	0	0-1	Mon Dec 30 2019
Hansen, Eric	0	Karjakin, Sergey	0	0-1	Mon Dec 30 2019
Giri,A	2797	Karjakin,Sergey	2753	0-1	2019.03.31
Amin,B	2704	Karjakin,Sergey	2752	0-1	2019.05.11
Nepomniachtchi,I	2775	Karjakin,Sergey	2748	0-1	2019.06.10
Nepomniachtchi,I	2775	Karjakin,Sergey	2748	0-1	2019.06.10
Dubov,Daniil	2700	Karjakin,Sergey	2748	0-1	2019.06.10
Giri,A	2779	Karjakin,Sergey	2748	1-0	2019.07.12
So,W	2763	Karjakin,Sergey	2748	1-0	2019.07.12
Inarkiev,E	2682	Karjakin,Sergey	2750	0-1	2019.08.04
Dominguez Perez,L	2763	Karjakin,Sergey	2750	1-0	2019.08.10
Aronian,L	2765	Karjakin,Sergey	2750	1-0	2019.08.10
Vachier Lagrave,M	2778	Karjakin,Sergey	2750	1-0	2019.08.10
Rapport,R	2747	Karjakin,Sergey	2750	1-0	2019.08.13
Carlsen,M	2882	Karjakin,Sergey	2750	1-0	2019.08.13
Mamedyarov,S	2764	Karjakin,Sergey	2750	1-0	2019.08.13
Vitiugov,N	2732	Karjakin,Sergey	2760	1-0	2019.09.10
Aronian,L	2772	Karjakin,Sergey	2754	1-0	2019.11.10
Artemiev, Vladislav	0	Karjakin, Sergey	0	1/2-1/2	Sun Nov 10 2019
Aronian, Levon	0	Karjakin, Sergey	0	1/2-1/2	Wed Nov 06 2019
Mamedyarov, Shakhriyar	0	Karjakin, Sergey	0	1/2-1/2	Fri Nov 08 2019
Korobov, Anton	0	Karjakin, Sergey	0	1/2-1/2	Sat Nov 09 2019
Anand, Viswanathan	0	Karjakin, Sergey	0	1/2-1/2	Sun Nov 10 2019
Harikrishna, P.	0	Karjakin, Sergey	0	1/2-1/2	Fri Dec 13 2019
Harikrishna, P.	0	Karjakin, Sergey	0	1/2-1/2	Fri Dec 13 2019
Harikrishna, P.	0	Karjakin, Sergey	0	1/2-1/2	Wed Dec 11 2019
Wei, Yi	0	Karjakin, Sergey	0	1/2-1/2	Sun Dec 15 2019
Wei, Yi	0	Karjakin, Sergey	0	1/2-1/2	Mon Dec 16 2019
Amin, Bassem	0	Karjakin, Sergey	0	1/2-1/2	Fri Dec 27 2019
Laznicka, Viktor	0	Karjakin, Sergey	0	1/2-1/2	Thu Dec 26 2019
Inarkiev,E	2682	Karjakin,Sergey	2750	0-1	2019.08.02
Inarkiev,E	2682	Karjakin,Sergey	2750	0-1	2019.08.02
Inarkiev,E	2682	Karjakin,Sergey	2750	0-1	2019.08.04
Inarkiev,E	2682	Karjakin,Sergey	2750	0-1	2019.08.04
Yu Yangyi	2752	Karjakin,Sergey	2750	0-1	2019.08.13
Caruana,F	2818	Karjakin,Sergey	2750	0-1	2019.08.13
Dominguez Perez,L	2763	Karjakin,Sergey	2750	0-1	2019.08.13
Sevian,Samuel	2654	Karjakin,Sergey	2760	0-1	2019.09.10
Megaranto,S	2550	Karjakin,Sergey	2760	0-1	2019.09.10
Jumabayev,R	2630	Karjakin,Sergey	2760	0-1	2019.10.10
Bartel,Mat	2634	Karjakin,Sergey	2754	0-1	2019.12.26
Xu,Yinglun	2555	Karjakin,Sergey	2754	0-1	2019.12.29
Khusnutdinov,R	2491	Karjakin,Sergey	2754	0-1	2019.12.29
Alekseev, Evgeny	0	Karjakin, Sergey	0	1/2-1/2	Thu Dec 26 2019
Abdusattorov, Nodirbek	0	Karjakin, Sergey	0	1/2-1/2	Sun Dec 29 2019
Mamedov, Rauf	0	Karjakin, Sergey	0	1/2-1/2	Sun Dec 29 2019
Vidit, Santosh Gujrathi	0	Karjakin, Sergey	0	1/2-1/2	Sat Dec 28 2019
Grachev, Boris	0	Karjakin, Sergey	0	1/2-1/2	Fri Dec 27 2019
Guseinov, Gadir	0	Karjakin, Sergey	0	1/2-1/2	Sat Dec 28 2019
Zhigalko, Sergei	0	Karjakin, Sergey	0	1/2-1/2	Mon Dec 30 2019
Maghsoodloo,Parham	2673	Karjakin,Sergey	2753	1/2-1/2	2019.03.05
Ding Liren	2812	Karjakin,Sergey	2753	1/2-1/2	2019.03.05
Grandelius,N	2694	Karjakin,Sergey	2753	1/2-1/2	2019.03.05
Radjabov,T	2756	Karjakin,Sergey	2753	1/2-1/2	2019.03.31
Navara,D	2739	Karjakin,Sergey	2753	1/2-1/2	2019.03.31
Mamedyarov,S	2790	Karjakin,Sergey	2753	1/2-1/2	2019.03.31
Nakamura,Hi	2761	Karjakin,Sergey	2752	1/2-1/2	2019.05.08
Topalov,V	2740	Karjakin,Sergey	2752	1/2-1/2	2019.05.08
Wei Yi	2736	Karjakin,Sergey	2752	1/2-1/2	2019.05.11
So,W	2754	Karjakin,Sergey	2752	1/2-1/2	2019.05.11
Nakamura,Hi	2761	Karjakin,Sergey	2752	1/2-1/2	2019.05.11
Vachier Lagrave,M	2780	Karjakin,Sergey	2752	1/2-1/2	2019.05.11
Nepomniachtchi,I	2773	Karjakin,Sergey	2752	1/2-1/2	2019.05.11
Anand,V	2774	Karjakin,Sergey	2752	1/2-1/2	2019.05.25
Carlsen,M	2861	Karjakin,Sergey	2752	1/2-1/2	2019.05.25
Wei Yi	2741	Karjakin,Sergey	2748	1/2-1/2	2019.06.10
Radjabov,T	2759	Karjakin,Sergey	2748	1/2-1/2	2019.06.10
Radjabov,T	2759	Karjakin,Sergey	2748	1/2-1/2	2019.06.10
Kramnik,V	2753	Karjakin,Sergey	2748	1/2-1/2	2019.06.10
Nepomniachtchi,I	2775	Karjakin,Sergey	2748	1/2-1/2	2019.06.10
Dubov,Daniil	2700	Karjakin,Sergey	2748	1/2-1/2	2019.06.10
Nepomniachtchi,I	2775	Karjakin,Sergey	2748	1/2-1/2	2019.06.10
Mamedyarov,S	2774	Karjakin,Sergey	2748	1/2-1/2	2019.06.26
Ding Liren	2805	Karjakin,Sergey	2748	1/2-1/2	2019.06.26
Nepomniachtchi,I	2775	Karjakin,Sergey	2748	1/2-1/2	2019.06.26
Vachier Lagrave,M	2779	Karjakin,Sergey	2748	1/2-1/2	2019.06.26
Anand,V	2767	Karjakin,Sergey	2748	1/2-1/2	2019.06.26
Giri,A	2779	Karjakin,Sergey	2748	1/2-1/2	2019.07.12
Giri,A	2779	Karjakin,Sergey	2748	1/2-1/2	2019.07.12
Giri,A	2779	Karjakin,Sergey	2748	1/2-1/2	2019.07.12
So,W	2763	Karjakin,Sergey	2748	1/2-1/2	2019.07.12
So,W	2763	Karjakin,Sergey	2748	1/2-1/2	2019.07.12
So,W	2763	Karjakin,Sergey	2748	1/2-1/2	2019.07.12
Inarkiev,E	2682	Karjakin,Sergey	2750	1/2-1/2	2019.08.04
Inarkiev,E	2682	Karjakin,Sergey	2750	1/2-1/2	2019.08.02
Harikrishna,P	2734	Karjakin,Sergey	2748	1/2-1/2	2019.07.31
Harikrishna,P	2734	Karjakin,Sergey	2748	1/2-1/2	2019.07.31
Harikrishna,P	2734	Karjakin,Sergey	2748	1/2-1/2	2019.07.31
Ding Liren	2805	Karjakin,Sergey	2750	1/2-1/2	2019.08.10
Aronian,L	2765	Karjakin,Sergey	2750	1/2-1/2	2019.08.13
Vachier Lagrave,M	2778	Karjakin,Sergey	2750	1/2-1/2	2019.08.13
Ding Liren	2805	Karjakin,Sergey	2750	1/2-1/2	2019.08.13
Carlsen,M	2882	Karjakin,Sergey	2750	1/2-1/2	2019.08.17
Karjakin, Sergey	2753	Caruana, F.	2811	1-0	2018.01.13
Karjakin, Sergey	2753	Kramnik, V.	2787	1-0	2018.01.13
Karjakin, Sergey	2763	Gelfand, B.	2695	1-0	2018.03.05
Karjakin, Sergey	2763	Nakamura, Hi	2787	1-0	2018.03.05
Karjakin, Sergey	2763	Nepomniachtchi, I.	2751	1-0	2018.03.05
Karjakin, Sergey	2763	Artemiev, V.	2697	1-0	2018.03.05
Karjakin, Sergey	2763	Kramnik, V.	2800	1-0	2018.03.02
Karjakin, Sergey	2763	Grischuk, A.	2767	1-0	2018.03.05
Karjakin, Sergey	2763	Praggnanandhaa, R.	2507	1-0	2018.03.01
Karjakin, Sergey	2763	So, W.	2799	1-0	2018.03.10
Karjakin, Sergey	2763	Caruana, F.	2784	1-0	2018.03.10
Karjakin, Sergey	2763	Kramnik, V.	2800	1-0	2018.03.10
Karjakin, Sergey	2778	Topalov, V.	2749	1-0	2018.04.19
Karjakin, Sergey	2782	Aronian, L.	2764	1-0	2018.05.27
Nakamura,Hi	2743	Karjakin,Sergey	2750	1/2-1/2	2019.08.17
So,W	2776	Karjakin,Sergey	2750	1/2-1/2	2019.08.17
Giri,A	2779	Karjakin,Sergey	2750	1/2-1/2	2019.08.17
Caruana,F	2818	Karjakin,Sergey	2750	1/2-1/2	2019.08.17
Abasov,N	2632	Karjakin,Sergey	2760	1/2-1/2	2019.10.10
Anton Guijarro,D	2674	Karjakin,Sergey	2760	1/2-1/2	2019.10.10
Maghsoodloo,Parham	2664	Karjakin,Sergey	2760	1/2-1/2	2019.10.10
Kovalev,Vl	2661	Karjakin,Sergey	2760	1/2-1/2	2019.10.10
