White	White ELO	Black	Black ELO	Result	Date
Mamedyarov, Shakhriyar	2751	So, Wesley	2775	1/2-1/2	2022.06.05
Mamedyarov, Shakhriyar	2770	Tari, Aryan	2654	1/2-1/2	2022.05.31
Mamedyarov, Shakhriyar	2770	Topalov, Veselin	2730	1/2-1/2	2022.06.02
Mamedyarov, Shakhriyar	2771	Khenkin, Igor	2506	1/2-1/2	2022.05.01
Mamedyarov, Shakhriyar	2699	Shankland, Sam	2616	1/2-1/2	2022.07.11
Mamedyarov, Shakhriyar	2699	Dominguez Perez, Leinier	2726	1/2-1/2	2022.07.11
Mamedyarov, Shakhriyar	2699	Giri, Anish	2721	1/2-1/2	2022.07.12
Mamedyarov, Shakhriyar	2699	Niemann, Hans Moke	2529	1/2-1/2	2022.07.12
Mamedyarov, Shakhriyar	2758	Boruchovsky, Avital	2551	1/2-1/2	2022.08.05
Mamedyarov, Shakhriyar	2758	Sargissian, Gabriel	2698	0-1	2022.08.08
Mamedyarov, Shakhriyar	2710	Blanco Ronquillo, Humberto L.	2425	0-1	2022.08.23
Mamedyarov, Shakhriyar	2695	Aronian, Levon	2728	1/2-1/2	2022.08.26
Mamedyarov, Shakhriyar	2695	Nakamura, Hikaru	2837	1/2-1/2	2022.08.27
Mamedyarov, Shakhriyar	2710	Nepomniachtchi, Ian	2791	0-1	2022.08.29
Mamedyarov, Shakhriyar	2710	Nakamura, Hikaru	2850	1/2-1/2	2022.08.29
Mamedyarov, Shakhriyar	2710	Firouzja, Alireza	2795	0-1	2022.08.29
Mamedyarov, Shakhriyar	2710	Caruana, Fabiano	2847	1/2-1/2	2022.08.29
Mamedyarov, Shakhriyar	2710	Xiong, Jeffery	2714	0-1	2022.08.30
Mamedyarov, Shakhriyar	2710	Dominguez Perez, Leinier	2708	1/2-1/2	2022.08.30
Mamedyarov, Shakhriyar	2758	So, Wesley	2773	1/2-1/2	2022.09.02
Mamedyarov, Shakhriyar	2758	Vachier-Lagrave, Maxime	2757	1/2-1/2	2022.09.04
Mamedyarov, Shakhriyar	2705	Kovalev, Vladislav	2505	0-1	2022.09.16
Mamedyarov, Shakhriyar	2705	Sarana, Alexey	2631	0-1	2022.09.23
Mamedyarov, Shakhriyar	2705	Yilmaz, Mustafa	2502	0-1	2022.09.24
Mamedyarov, Shakhriyar	2705	Kasimdzhanov, Rustam	2698	0-1	2022.09.24
Aronian, Levon	2781	Mamedyarov, Shakhriyar	2770	0-1	Sat Mar 13 2021
Dubov, Daniil	2770	Mamedyarov, Shakhriyar	2761	1-0	Tue May 25 2021
Onischuk, Vladimir	2603	Mamedyarov, Shakhriyar	2716	1-0	2021.06.22
Nepomniachtchi, Ian	2791	Mamedyarov, Shakhriyar	2761	1-0	2021.07.07
Duda, Jan-Krzysztof	2799	Mamedyarov, Shakhriyar	2716	1-0	2021.07.10
Vachier-Lagrave, Maxime	2794	Mamedyarov, Shakhriyar	2716	1-0	2021.07.10
Korobov, Anton	2668	Mamedyarov, Shakhriyar	2716	1-0	2021.07.10
Giri, Anish	2744	Mamedyarov, Shakhriyar	2716	1-0	2021.07.11
Martirosyan, Haik M.	2632	Mamedyarov, Shakhriyar	2782	1-0	2021.07.18
Le, Quang Liem	2744	Mamedyarov, Shakhriyar	2761	1-0	2021.08.01
Aronian, Levon	2761	Mamedyarov, Shakhriyar	2761	1-0	2021.08.03
Caruana, Fabiano	2758	Mamedyarov, Shakhriyar	2756	1-0	2021.08.13
So, Wesley	2861	Mamedyarov, Shakhriyar	2755	1-0	2021.08.14
Dominguez Perez, Leinier	2654	Mamedyarov, Shakhriyar	2755	1-0	2021.08.14
Shankland, Sam	2704	Mamedyarov, Shakhriyar	2755	1-0	2021.08.15
Svidler, Peter	2743	Mamedyarov, Shakhriyar	2755	1-0	2021.08.15
Nakamura, Hikaru	2900	Mamedyarov, Shakhriyar	2755	1-0	2021.08.15
Shankland, Sam	2709	Mamedyarov, Shakhriyar	2782	1-0	2021.08.20
Aronian, Levon	2761	Mamedyarov, Shakhriyar	2756	1-0	2021.08.31
Aronian, Levon	2761	Mamedyarov, Shakhriyar	2756	1-0	2021.08.31
Ding, Liren	2788	Mamedyarov, Shakhriyar	2754	1-0	2021.11.09
Ding, Liren	2788	Mamedyarov, Shakhriyar	2754	1-0	2021.11.09
Ding, Liren	2788	Mamedyarov, Shakhriyar	2754	1-0	2021.11.09
Ding, Liren	2788	Mamedyarov, Shakhriyar	2754	1-0	2021.11.09
Firouzja, Alireza	2770	Mamedyarov, Shakhriyar	2765	1-0	2021.11.21
Grandelius, Nils	2670	Mamedyarov, Shakhriyar	2770	0-1	Sun Mar 14 2021
Karjakin, Sergey	2757	Mamedyarov, Shakhriyar	2770	0-1	Mon Mar 15 2021
Duda, Jan-Krzysztof	2729	Mamedyarov, Shakhriyar	2770	0-1	Sat Apr 24 2021
