White	White ELO	Black	Black ELO	Result	Date
Nakamura, Hikaru	2850	Anton Guijarro, David	2584	1-0	2022.02.20
Nakamura, Hikaru	2850	So, Wesley	2814	1-0	2022.03.12
Nakamura, Hikaru	2850	Matlakov, Maxim	2669	1-0	2022.03.12
Nakamura, Hikaru	2850	Sadhwani, Raunak	2616	1-0	2022.03.05
Nakamura, Hikaru	2850	Kosteniuk, Alexandra	2469	1-0	2022.03.05
Nakamura, Hikaru	2850	Vachier-Lagrave, Maxime	2813	1-0	2022.03.13
Nakamura, Hikaru	2850	Naroditsky, Daniel	2608	1-0	2022.03.12
Nakamura, Hikaru	2850	Caruana, Fabiano	2744	1-0	2022.03.13
Nakamura, Hikaru	2850	Tabatabaei, M. Amin	2544	1-0	2022.04.02
Nakamura, Hikaru	2850	Matlakov, Maxim	2669	1-0	2022.04.09
Nakamura, Hikaru	2850	Tabatabaei, M. Amin	2544	1-0	2022.04.09
Nakamura, Hikaru	2850	Jumabayev, Rinat	2561	1-0	2022.04.02
Nakamura, Hikaru	2850	Esipenko, Andrey	2617	1-0	2022.04.16
Nakamura, Hikaru	2850	Andreikin, Dmitry	2736	1-0	2022.04.16
Nakamura, Hikaru	2850	Xiong, Jeffery	2727	1-0	2022.04.16
Nakamura, Hikaru	2837	Grischuk, Alexander	2759	1-0	2022.04.10
Nakamura, Hikaru	2850	Fedoseev, Vladimir	2726	1-0	2022.04.10
Nakamura, Hikaru	2850	Narayanan.S.L, 	2494	1-0	2022.04.09
Nakamura, Hikaru	2850	Matlakov, Maxim	2669	1-0	2022.04.30
Nakamura, Hikaru	2837	Martinez Alcantara, Jose Eduardo	2645	1-0	2022.04.24
Nakamura, Hikaru	2850	Narayanan.S.L, 	2494	1-0	2022.04.23
Nakamura, Hikaru	2850	Andreikin, Dmitry	2736	1-0	2022.04.23
Nakamura, Hikaru	2837	Xiong, Jeffery	2729	1-0	2022.04.17
Nakamura, Hikaru	2850	Giri, Anish	2766	1-0	2022.05.07
Nakamura, Hikaru	2837	Vidit, Santosh Gujrathi	2617	1-0	2022.05.01
Stepanencu, Nicodim-Cosmin	1945	Nakamura, Hikaru	2850	0-1	2022.06.14
Vakhlamov, Igor L.	2401	Nakamura, Hikaru	2850	0-1	2022.06.14
Shirov, Alexei	2678	Nakamura, Hikaru	2850	0-1	2022.06.14
Steinberg, Nitzan	2471	Nakamura, Hikaru	2850	0-1	2022.06.14
Tifferet, Shaked	2083	Nakamura, Hikaru	2850	0-1	2022.06.14
Zakhartsov, Vladimir	2490	Nakamura, Hikaru	2850	0-1	2022.06.14
Kozak, Adam	2459	Nakamura, Hikaru	2850	0-1	2022.06.14
Bortnyk, Olexandr	2723	Nakamura, Hikaru	2850	0-1	2022.06.14
Xiong, Jeffery	2714	Nakamura, Hikaru	2850	0-1	2022.06.28
Van Foreest, Jorden	2609	Nakamura, Hikaru	2850	0-1	2022.06.28
Przybylski, Wojciech	2133	Nakamura, Hikaru	2850	0-1	2022.06.28
Sorokin, Aleksey	2476	Nakamura, Hikaru	2850	0-1	2022.06.11
Sarana, Alexey	2666	Nakamura, Hikaru	2850	0-1	2022.06.11
So, Wesley	2763	Nakamura, Hikaru	2850	0-1	2022.07.10
Bortnyk, Olexandr	2643	Nakamura, Hikaru	2837	0-1	2022.07.10
Popilski, Gil	2537	Nakamura, Hikaru	2850	0-1	2022.07.09
Erigaisi, Arjun	2745	Nakamura, Hikaru	2850	0-1	2022.02.19
Deac, Bogdan-Daniel	2646	Nakamura, Hikaru	2850	0-1	2022.02.19
Svidler, Peter	2725	Nakamura, Hikaru	2850	0-1	2022.02.19
Keymer, Vincent	2557	Nakamura, Hikaru	2850	0-1	2022.02.26
Sarana, Alexey	2665	Nakamura, Hikaru	2850	0-1	2022.02.26
Erigaisi, Arjun	2745	Nakamura, Hikaru	2850	0-1	2022.03.12
Sarana, Alexey	2665	Nakamura, Hikaru	2850	0-1	2022.03.05
Abdusattorov, Nodirbek	2663	Nakamura, Hikaru	2850	0-1	2022.03.05
Aronian, Levon	2705	Nakamura, Hikaru	2837	0-1	2022.03.13
Sarana, Alexey	2666	Nakamura, Hikaru	2850	0-1	2022.04.02
Saric, Ivan	2550	Nakamura, Hikaru	2850	0-1	2022.04.02
Hansen, Eric	2568	Nakamura, Hikaru	2850	0-1	2022.04.02
Sevian, Samuel	2698	Nakamura, Hikaru	2850	0-1	2022.04.16
Aronian, Levon	2773	Nakamura, Hikaru	2850	0-1	2022.04.16
Aronian, Levon	2705	Nakamura, Hikaru	2837	0-1	2022.04.10
Matlakov, Maxim	2669	Nakamura, Hikaru	2850	0-1	2022.04.23
Nepomniachtchi, Ian	2740	Nakamura, Hikaru	2850	0-1	2022.04.23
Jones, Gawain C B	2657	Nakamura, Hikaru	2850	0-1	2022.05.07
Martinez Alcantara, Jose Eduardo	2690	Nakamura, Hikaru	2850	0-1	2022.05.07
Ponkratov, Pavel	2487	Nakamura, Hikaru	2850	0-1	2022.05.14
Fedoseev, Vladimir	2739	Nakamura, Hikaru	2851	0-1	2022.05.08
Durarbayli, Vasif	2528	Nakamura, Hikaru	2850	0-1	2022.05.14
Hevia Alejano, Carlos Antonio	2498	Nakamura, Hikaru	2850	0-1	2022.05.21
Paravyan, David	2636	Nakamura, Hikaru	2851	0-1	2022.05.22
Dubov, Daniil	2791	Nakamura, Hikaru	2850	0-1	2022.05.21
Bluebaum, Matthias	2556	Nakamura, Hikaru	2850	0-1	2022.06.04
Xiong, Jeffery	2727	Nakamura, Hikaru	2850	0-1	2022.06.04
Swiercz, Dariusz	2627	Nakamura, Hikaru	2850	0-1	2022.05.28
Bortnyk, Olexandr	2723	Nakamura, Hikaru	2850	0-1	2022.06.04
Toncheva, Nadya	1888	Nakamura, Hikaru	2850	0-1	2022.07.26
Xu, Yi	2471	Nakamura, Hikaru	2850	0-1	2022.07.26
Suleymanli, Aydin	2481	Nakamura, Hikaru	2850	0-1	2022.07.26
Pesotskiy, Mikhail	2010	Nakamura, Hikaru	2850	0-1	2022.07.26
Ismagilov, Damir	2138	Nakamura, Hikaru	2850	0-1	2022.07.26
Maksimovic, Bojan	2453	Nakamura, Hikaru	2850	0-1	2022.07.26
Shimanov, Aleksandr	2605	Nakamura, Hikaru	2850	0-1	2022.07.30
Shimanov, Aleksandr	2605	Nakamura, Hikaru	2850	0-1	2022.08.02
Paravyan, David	2569	Nakamura, Hikaru	2850	0-1	2022.08.02
Andreikin, Dmitry	2736	Nakamura, Hikaru	2850	0-1	2022.08.02
Barria Zuniga, Daniel	2414	Nakamura, Hikaru	2850	0-1	2022.08.02
Harsha, Bharathakoti	2876	Nakamura, Hikaru	3204	0-1	2022.08.02
Alekseenko, Kirill	2682	Nakamura, Hikaru	2850	0-1	2022.08.02
Zhigalko, Sergei	2905	Nakamura, Hikaru	3206	0-1	2022.08.02
Wu, Rochelle	2168	Nakamura, Hikaru	2850	0-1	2022.08.02
Grischuk, Alexander	2762	Nakamura, Hikaru	2850	0-1	2022.08.06
Dubov, Daniil	2791	Nakamura, Hikaru	2850	0-1	2022.08.09
Gareyev, Timur	2528	Nakamura, Hikaru	2850	0-1	2022.08.09
Wieczorek, Oskar	2728	Nakamura, Hikaru	3202	0-1	2022.08.09
Salem, A.R. Saleh	2674	Nakamura, Hikaru	2850	0-1	2022.08.09
Garcia, Erick	2202	Nakamura, Hikaru	2850	0-1	2022.08.09
Przybylski, Wojciech	2133	Nakamura, Hikaru	2850	0-1	2022.08.09
Galperin, Platon	2435	Nakamura, Hikaru	2850	0-1	2022.08.09
Kravtsiv, Martyn	2694	Nakamura, Hikaru	2850	0-1	2022.08.09
Sarana, Alexey	2666	Nakamura, Hikaru	2850	0-1	2022.08.09
Yanchenko, Roman	2514	Nakamura, Hikaru	2850	0-1	2022.08.09
Tari, Aryan	2612	Nakamura, Hikaru	2850	0-1	2022.08.13
Bok, Benjamin	2658	Nakamura, Hikaru	2850	0-1	2022.08.14
Olivares Olivares, Claudio	2249	Nakamura, Hikaru	2850	0-1	2022.08.16
Mitrabha, Guha	2499	Nakamura, Hikaru	2850	0-1	2022.08.16
Potapova, Margarita	2225	Nakamura, Hikaru	2850	0-1	2022.08.16
Djordjevic, Vuk	2456	Nakamura, Hikaru	2850	0-1	2022.08.16
Shimanov, Aleksandr	2605	Nakamura, Hikaru	2850	0-1	2022.08.16
So, Wesley	2784	Nakamura, Hikaru	2837	0-1	2022.08.19
Kadric, Denis	2657	Nakamura, Hikaru	2850	0-1	2022.08.23
Jian, Alex	2095	Nakamura, Hikaru	2850	0-1	2022.08.23
Suder, Jakub	2095	Nakamura, Hikaru	2850	0-1	2022.08.23
Pinheiro, Iung Alicio de O.	2283	Nakamura, Hikaru	2850	0-1	2022.08.23
Fawzy, Adham	2541	Nakamura, Hikaru	2850	0-1	2022.08.23
Aronian, Levon	2728	Nakamura, Hikaru	2837	0-1	2022.08.26
Xiong, Jeffery	2725	Nakamura, Hikaru	2837	0-1	2022.08.28
Dominguez Perez, Leinier	2708	Nakamura, Hikaru	2850	0-1	2022.08.29
Xiong, Jeffery	2714	Nakamura, Hikaru	2850	0-1	2022.08.29
Caruana, Fabiano	2847	Nakamura, Hikaru	2850	0-1	2022.08.30
Shankland, Sam	2645	Nakamura, Hikaru	2850	0-1	2022.08.30
Vachier-Lagrave, Maxime	2812	Nakamura, Hikaru	2850	0-1	2022.08.30
Nepomniachtchi, Ian	2791	Nakamura, Hikaru	2850	0-1	2022.08.30
Mladek, Richard	2666	Nakamura, Hikaru	3246	0-1	2022.09.20
Iliaguev, Nisim	2107	Nakamura, Hikaru	2850	0-1	2022.09.20
Navara, David	2659	Nakamura, Hikaru	2789	0-1	2022.09.24
Iturrizaga Bonelli, Eduardo	2629	Nakamura, Hikaru	2850	0-1	2022.09.27
Zelbel, Patrick	2474	Nakamura, Hikaru	2850	0-1	2022.09.27
Kodinets, Konstantin L.	2447	Nakamura, Hikaru	2850	0-1	2022.09.27
Caruana, Fabiano	2847	Nakamura, Hikaru	2850	0-1	2022.09.27
Sargsyan, Anna M.	2271	Nakamura, Hikaru	2850	0-1	2022.09.27
Terry, Renato	2577	Nakamura, Hikaru	2850	1/2-1/2	2022.06.14
