White	White ELO	Black	Black ELO	Result	Date
Nepomniachtchi, Ian	2821	Paravyan, David	2636	0-1	2022.03.06
Nepomniachtchi, Ian	2740	Sarana, Alexey	2665	0-1	2022.03.05
Nepomniachtchi, Ian	2740	Grischuk, Alexander	2762	0-1	2022.04.09
Nepomniachtchi, Ian	2740	Xiong, Jeffery	2727	0-1	2022.04.02
Nepomniachtchi, Ian	2740	Fedoseev, Vladimir	2726	0-1	2022.04.02
Nepomniachtchi, Ian	2740	Ponkratov, Pavel	2487	0-1	2022.04.09
Nepomniachtchi, Ian	2740	Keymer, Vincent	2557	1-0	2022.02.12
Nepomniachtchi, Ian	2740	Niemann, Hans Moke	2636	1-0	2022.02.12
Nepomniachtchi, Ian	2791	Chigaev, Maksim	2487	1-0	2022.08.06
Nepomniachtchi, Ian	2791	Martinez Alcantara, Jose Eduardo	2703	1-0	2022.08.06
Nepomniachtchi, Ian	2791	Paravyan, David	2569	1-0	2022.08.13
Nepomniachtchi, Ian	2791	Martinez Alcantara, Jose Eduardo	2703	1-0	2022.08.13
Nepomniachtchi, Ian	2791	Van Foreest, Jorden	2649	1-0	2022.08.13
Nepomniachtchi, Ian	2795	Niemann, Hans Moke	2529	1-0	2022.08.14
Nepomniachtchi, Ian	2795	Bortnyk, Olexandr	2643	1-0	2022.08.14
Nepomniachtchi, Ian	2795	Dubov, Daniil	2712	1-0	2022.08.18
Nepomniachtchi, Ian	2791	Fedoseev, Vladimir	2726	1-0	2022.08.19
Nepomniachtchi, Ian	2795	Nakamura, Hikaru	2837	1-0	2022.08.20
Nepomniachtchi, Ian	2791	Nakamura, Hikaru	2850	1-0	2022.08.20
Nepomniachtchi, Ian	2795	Andreikin, Dmitry	2675	1-0	2022.08.21
Nepomniachtchi, Ian	2795	Mamedyarov, Shakhriyar	2695	1-0	2022.08.27
Nepomniachtchi, Ian	2791	Xiong, Jeffery	2714	1-0	2022.08.29
Nepomniachtchi, Ian	2792	Firouzja, Alireza	2778	1-0	2022.09.03
Nepomniachtchi, Ian	2779	Muradli, Mahammad	2443	1-0	2022.09.16
Nepomniachtchi, Ian	2779	Svidler, Peter	2752	1-0	2022.09.24
Giri, Anish	2764	Nepomniachtchi, Ian	2789	1-0	Sat Feb 06 2021
Aronian, Levon	2781	Nepomniachtchi, Ian	2789	1-0	Mon Feb 08 2021
Dubov, Daniil	2710	Nepomniachtchi, Ian	2789	1-0	Sat Mar 13 2021
Van Foreest, Jorden	2701	Nepomniachtchi, Ian	2789	1-0	Sat Mar 13 2021
Nakamura, Hikaru	2736	Nepomniachtchi, Ian	2789	1-0	Tue Mar 16 2021
Carlsen, Magnus	2847	Nepomniachtchi, Ian	2789	1-0	Fri Mar 19 2021
Carlsen, Magnus	2847	Nepomniachtchi, Ian	2789	1-0	Fri Mar 19 2021
Giri, Anish	2776	Nepomniachtchi, Ian	2789	1-0	Sun Mar 21 2021
Giri, Anish	2776	Nepomniachtchi, Ian	2789	1-0	Sun Mar 21 2021
Giri, Anish	2776	Nepomniachtchi, Ian	2789	1-0	Sun Mar 21 2021
Giri, Anish	2776	Nepomniachtchi, Ian	2789	1-0	Sun Mar 21 2021
Ding, Liren	2791	Nepomniachtchi, Ian	2789	1-0	Tue Apr 27 2021
Vachier-Lagrave, Maxime	2860	Nepomniachtchi, Ian	2778	1-0	Tue May 25 2021
Caruana, Fabiano	2820	Nepomniachtchi, Ian	2792	1-0	Mon May 24 2021
Caruana, Fabiano	2773	Nepomniachtchi, Ian	2778	1-0	Wed May 26 2021
