White	White ELO	Black	Black ELO	Result	Date
Gharibyan, Mamikon	2487	Niemann, Hans Moke	2678	0-1	2022.06.22
Shankland, Sam	2616	Niemann, Hans Moke	2529	0-1	2022.07.10
Dominguez Perez, Leinier	2726	Niemann, Hans Moke	2529	0-1	2022.07.11
Oparin, Grigoriy	2685	Niemann, Hans Moke	2636	0-1	2022.02.26
Bluebaum, Matthias	2550	Niemann, Hans Moke	2636	0-1	2022.02.26
Martinez Alcantara, Jose Eduardo	2690	Niemann, Hans Moke	2636	0-1	2022.02.26
Praggnanandhaa, R	2599	Niemann, Hans Moke	2632	0-1	2022.03.12
Kovalenko, Igor	2560	Niemann, Hans Moke	2632	0-1	2022.03.26
Lupulescu, Constantin	2557	Niemann, Hans Moke	2632	0-1	2022.04.02
Caruana, Fabiano	2744	Niemann, Hans Moke	2632	0-1	2022.04.02
Fedoseev, Vladimir	2726	Niemann, Hans Moke	2632	0-1	2022.04.30
Nepomniachtchi, Ian	2795	Niemann, Hans Moke	2529	1-0	2022.08.14
Duda, Jan-Krzysztof	2808	Niemann, Hans Moke	2529	1-0	2022.08.15
Carlsen, Magnus	2834	Niemann, Hans Moke	2529	1-0	2022.08.16
Praggnanandhaa, R	1927	Niemann, Hans Moke	2529	1-0	2022.08.17
Praggnanandhaa, R	1927	Niemann, Hans Moke	2529	1-0	2022.08.17
Giri, Anish	2721	Niemann, Hans Moke	2529	1-0	2022.08.18
Firouzja, Alireza	2704	Niemann, Hans Moke	2529	1-0	2022.08.19
Aronian, Levon	2728	Niemann, Hans Moke	2529	1-0	2022.08.20
Aronian, Levon	2728	Niemann, Hans Moke	2529	1-0	2022.08.20
Le, Quang Liem	2661	Niemann, Hans Moke	2529	1-0	2022.08.21
Wojtaszek, Radoslaw	2636	Niemann, Hans Moke	2529	1-0	2022.09.18
Erigaisi, Arjun	2450	Niemann, Hans Moke	2529	1-0	2022.09.19
Giri, Anish	2721	Niemann, Hans Moke	2529	1-0	2022.09.20
Le, Quang Liem	2661	Niemann, Hans Moke	2529	1-0	2022.09.22
Yoo, Christopher Woojin	2009	Niemann, Hans Moke	2492	0-1	2021.06.22
Cardoso Cardoso, Jose Gabriel	2343	Niemann, Hans Moke	2492	0-1	2021.06.21
Yoo, Christopher Woojin	2009	Niemann, Hans Moke	2492	0-1	2021.06.22
TanitoluwaAps116	2317	Niemann, Hans Moke	2492	0-1	2021.06.21
TanitoluwaAps116	2333	Niemann, Hans Moke	2492	0-1	2021.06.21
TanitoluwaAps116	2582	Niemann, Hans Moke	2492	0-1	2021.06.21
TanitoluwaAps116	2577	Niemann, Hans Moke	2492	0-1	2021.06.21
TanitoluwaAps116	2317	Niemann, Hans Moke	2492	0-1	2021.06.21
TanitoluwaAps116	2579	Niemann, Hans Moke	2492	0-1	2021.06.21
Alexander Katz	0	Hans Niemann	0	0-1	2021.06.20
Jason Wang	0	Hans Niemann	0	0-1	2021.06.21
Hong, Andrew	0	Hans Niemann	0	0-1	2021.06.21
Yoo, Christopher Woojin	2105	Niemann, Hans Moke	2554	0-1	2021.07.08
Yoo, Christopher Woojin	2105	Niemann, Hans Moke	2554	0-1	2021.07.08
Yoo, Christopher Woojin	2105	Niemann, Hans Moke	2554	0-1	2021.07.08
Yoo, Christopher Woojin	2105	Niemann, Hans Moke	2554	0-1	2021.07.08
Hong, Andrew	2474	Niemann, Hans Moke	2571	0-1	2021.07.19
Balakrishnan, Praveen	2507	Niemann, Hans Moke	2571	0-1	2021.07.17
Li, Ben	2376	Niemann, Hans Moke	2571	0-1	2021.07.22
