White	White ELO	Black	Black ELO	Result	Date
Rapport, Richard	2763	Wei, Yi	2732	1-0	Sat May 01 2021
Rapport, Richard	2727	Svidler, Peter	2742	1-0	2021.06.20
Rapport, Richard	2759	Caruana, Fabiano	2711	1-0	2021.06.22
Rapport, Richard	2759	Radjabov, Teimour	2757	1-0	2021.06.22
Rapport, Richard	2759	Kramnik, Vladimir	2797	1-0	2021.06.21
Rapport, Richard	2724	Xiong, Jeffery	2730	1-0	2021.08.13
Rapport, Richard	2763	Svidler, Peter	2714	1-0	2021.08.20
Rapport, Richard	2760	Firouzja, Alireza	2754	1-0	2021.09.10
Rapport, Richard	2760	Tari, Aryan	2642	1-0	2021.09.13
Rapport, Richard	2760	Karjakin, Sergey	2758	1-0	2021.09.14
Rapport, Richard	2770	Vandenbussche, Thibaut	2413	1-0	2021.10.15
Rapport, Richard	2754	Sarana, Alexey	2689	1-0	2021.11.10
Rapport, Richard	2754	Sarana, Alexey	2689	1-0	2021.11.10
Rapport, Richard	2754	Sarana, Alexey	2689	1-0	2021.11.10
Rapport, Richard	2754	Sarana, Alexey	2689	1-0	2021.11.10
Rapport, Richard	2754	Sarana, Alexey	2689	1-0	2021.11.10
Rapport, Richard	2754	Sarana, Alexey	2689	1-0	2021.11.10
Duda, Jan-Krzysztof	2750	Rapport, Richard	2764	1/2-1/2	2022.06.17
Ding, Liren	2806	Rapport, Richard	2764	1/2-1/2	2022.06.19
Caruana, Fabiano	2783	Rapport, Richard	2764	1/2-1/2	2022.06.22
Radjabov, Teimour	2753	Rapport, Richard	2764	1/2-1/2	2022.06.23
Dominguez Perez, Leinier	2726	Rapport, Richard	2802	1/2-1/2	2022.07.10
Sevian, Samuel	2569	Rapport, Richard	2802	1/2-1/2	2022.07.12
Xiong, Jeffery	2725	Rapport, Richard	2802	1/2-1/2	2022.07.14
Wei, Yi	2752	Rapport, Richard	2802	1/2-1/2	2022.07.15
Rapport,R	2731	Anand,V	2773	1/2-1/2	2019.01.12
Rapport,R	2731	Ding Liren	2813	1/2-1/2	2019.01.12
Rapport,R	2735	Shankland,S	2731	1/2-1/2	2019.02.20
Rapport,R	2735	Shankland,S	2731	1/2-1/2	2019.02.20
Rapport,R	2735	Shankland,S	2731	1/2-1/2	2019.02.23
Rapport,R	2735	Shankland,S	2731	1/2-1/2	2019.02.23
Rapport,R	2738	Vidit,S	2711	1/2-1/2	2019.03.06
Rapport,R	2738	Navara,D	2739	1/2-1/2	2019.03.06
Rapport,R	2738	Shankland,S	2731	1/2-1/2	2019.03.06
Rapport,R	2726	Jakovenko,D	2719	1/2-1/2	2019.04.17
Rapport,R	2726	Yu Yangyi	2751	1/2-1/2	2019.04.17
Rapport,R	2726	Ding Liren	2809	1/2-1/2	2019.04.17
Rapport,R	2726	Giri,A	2797	1/2-1/2	2019.04.17
Rapport,R	2736	Vidit,S	2707	1/2-1/2	2019.05.17
Rapport,R	2736	Andreikin,D	2722	1/2-1/2	2019.05.17
Rapport,R	2736	Korobov,A	2687	1/2-1/2	2019.05.17
Rapport,R	2736	Leko,P	2674	1/2-1/2	2019.05.17
Rapport,R	2736	Wang Hao	2735	1/2-1/2	2019.05.17
Rapport,R	2736	Ponomariov,R	2675	1/2-1/2	2019.05.17
Rapport,R	2736	Ponomariov,R	2675	1/2-1/2	2019.05.14
Rapport,R	2736	Gelfand,B	2676	1/2-1/2	2019.05.14
Rapport,R	2736	Bu Xiangzhi	2729	1/2-1/2	2019.05.14
Rapport,R	2735	Artemiev,V	2761	1/2-1/2	2019.06.30
Rapport,R	2735	Wang Hao	2737	1/2-1/2	2019.06.30
Rapport,R	2735	Vidit,S	2707	1/2-1/2	2019.06.30
Wei, Yi	0	Rapport, Richard	0	0-1	Wed Jul 24 2019
Carlsen,M	2835	Rapport,R	2731	1-0	2019.01.12
Shankland,S	2731	Rapport,R	2735	1-0	2019.02.23
Shankland,S	2731	Rapport,R	2735	1-0	2019.02.23
Shankland,S	2731	Rapport,R	2735	1-0	2019.02.23
Shankland,S	2731	Rapport,R	2735	1-0	2019.02.23
Wojtaszek,R	2722	Rapport,R	2738	1-0	2019.03.06
Harikrishna,P	2723	Rapport,R	2726	1-0	2019.04.17
Korobov,A	2687	Rapport,R	2736	1-0	2019.05.17
Yu Yangyi	2739	Rapport,R	2736	1-0	2019.05.17
Ponomariov,R	2675	Rapport,R	2736	1-0	2019.05.17
Vidit,S	2707	Rapport,R	2736	1-0	2019.05.14
Rapport,R	2735	Dominguez Perez,L	2760	1/2-1/2	2019.07.13
Rapport,R	2735	Wojtaszek,R	2737	1/2-1/2	2019.07.13
Rapport,R	2735	Fridman,D	2638	1/2-1/2	2019.07.13
Vachier Lagrave,M	2778	Rapport,R	2747	1-0	2019.08.10
Rapport,R	2747	Ding Liren	2805	1/2-1/2	2019.08.13
Carlsen,M	2882	Rapport,R	2747	1-0	2019.08.13
Vachier Lagrave,M	2778	Rapport,R	2747	1-0	2019.08.13
Karjakin,Sergey	2750	Rapport,R	2747	1-0	2019.08.13
Mamedyarov,S	2764	Rapport,R	2747	1-0	2019.08.13
Ding Liren	2805	Rapport,R	2747	1-0	2019.08.13
Rapport,R	2747	Carlsen,M	2882	1/2-1/2	2019.08.13
Rapport,R	2752	Mamedov,Rau	2648	1/2-1/2	2019.11.10
Rapport,R	2752	Khenkin,I	2545	1/2-1/2	2019.11.23
Dominguez Perez, Leinier	0	Rapport, Richard	0	1/2-1/2	Fri Nov 15 2019
Li, Chao b	0	Rapport, Richard	0	1/2-1/2	Sat Jul 27 2019
Zou, Chen	0	Rapport, Richard	0	0-1	Tue Aug 20 2019
Chu, Wei Chao	0	Rapport, Richard	0	0-1	Thu Aug 22 2019
Duda,J	2738	Rapport,R	2731	0-1	2019.01.12
Shankland,S	2731	Rapport,R	2735	0-1	2019.02.20
Shankland,S	2731	Rapport,R	2735	0-1	2019.02.20
Shankland,S	2731	Rapport,R	2735	0-1	2019.02.20
Shankland,S	2731	Rapport,R	2735	0-1	2019.02.20
Shankland,S	2731	Rapport,R	2735	0-1	2019.02.23
Shankland,S	2731	Rapport,R	2735	0-1	2019.02.23
Shankland,S	2731	Rapport,R	2735	0-1	2019.02.23
Shankland,S	2731	Rapport,R	2735	0-1	2019.02.23
Shankland,S	2731	Rapport,R	2735	0-1	2019.02.23
Vidit,S	2707	Rapport,R	2736	0-1	2019.05.17
Andreikin,D	2722	Rapport,R	2736	0-1	2019.05.17
Bu Xiangzhi	2729	Rapport,R	2736	0-1	2019.05.17
Fedoseev,Vl3	2683	Rapport,R	2736	0-1	2019.05.17
Jones,G	2702	Rapport,R	2736	0-1	2019.05.14
Mamedov,Rau	2650	Rapport,R	2736	0-1	2019.05.14
Inarkiev,E	2693	Rapport,R	2735	0-1	2019.06.30
Mamedyarov,S	2764	Rapport,R	2747	0-1	2019.08.10
Yu Yangyi	2752	Rapport,R	2747	0-1	2019.08.10
Caruana,F	2818	Rapport,R	2747	0-1	2019.08.13
Efimenko,Z	2601	Rapport,R	2752	0-1	2019.11.10
Van Foreest, Jorden	0	Rapport, Richard	0	1/2-1/2	Sat Dec 07 2019
Fedoseev,Vl3	2724	Rapport,R	2731	1/2-1/2	2019.01.12
Radjabov,T	2757	Rapport,R	2731	1/2-1/2	2019.01.12
Nepomniachtchi,I	2763	Rapport,R	2731	1/2-1/2	2019.01.12
Mamedyarov,S	2817	Rapport,R	2731	1/2-1/2	2019.01.12
Vidit,S	2695	Rapport,R	2731	1/2-1/2	2019.01.12
Shankland,S	2731	Rapport,R	2735	1/2-1/2	2019.02.20
Shankland,S	2731	Rapport,R	2735	1/2-1/2	2019.02.20
Shankland,S	2731	Rapport,R	2735	1/2-1/2	2019.02.23
Shankland,S	2731	Rapport,R	2735	1/2-1/2	2019.02.23
Shankland,S	2731	Rapport,R	2735	1/2-1/2	2019.02.23
Harikrishna,P	2730	Rapport,R	2738	1/2-1/2	2019.03.06
Gelfand,B	2655	Rapport,R	2738	1/2-1/2	2019.03.06
Vitiugov,N	2726	Rapport,R	2738	1/2-1/2	2019.03.06
Ding Liren	2809	Rapport,R	2726	1/2-1/2	2019.04.17
Giri,A	2797	Rapport,R	2726	1/2-1/2	2019.04.17
Jakovenko,D	2719	Rapport,R	2726	1/2-1/2	2019.04.17
Yu Yangyi	2751	Rapport,R	2726	1/2-1/2	2019.04.17
Leko,P	2674	Rapport,R	2736	1/2-1/2	2019.05.17
Gelfand,B	2676	Rapport,R	2736	1/2-1/2	2019.05.17
Wang Hao	2735	Rapport,R	2736	1/2-1/2	2019.05.17
Le Quang Liem	2704	Rapport,R	2736	1/2-1/2	2019.05.17
Cheparinov,I	2667	Rapport,R	2736	1/2-1/2	2019.05.14
Wang Hao	2735	Rapport,R	2736	1/2-1/2	2019.05.14
Dominguez Perez,L	2750	Rapport,R	2736	1/2-1/2	2019.05.14
Rapport, R.	2700	Getz, N.	2423	1-0	2018.01.02
Rapport, R.	2700	Sadhwani, Raunak	2321	1-0	2018.01.02
Rapport, R.	2700	Gandrud, V.	2346	1-0	2018.01.23
Rapport, R.	2700	Huzman, A.	2561	1-0	2018.01.23
Rapport, R.	2700	Dvirnyy, D.	2534	1-0	2018.01.23
Rapport, R.	2700	Howell, D.	2682	1-0	2018.01.23
Rapport, R.	2686	Shytaj, L.	2465	1-0	2017.10.21
Rapport, R.	2715	Der Manuelian, Haik	2279	1-0	2018.03.06
Rapport, R.	2715	Lenderman, A.	2600	1-0	2018.03.06
Rapport, R.	2715	Krauseneck, P.	2149	1-0	2018.03.29
Rapport, R.	2715	Kollars, Dmitrij	2534	1-0	2018.03.29
Rapport, R.	2715	Malek, Da	2403	1-0	2018.03.29
Rapport, R.	2707	Nenezic, M.	2497	1-0	2017.11.25
Yu Yangyi	2738	Rapport,R	2735	1/2-1/2	2019.06.30
Wei Yi	2741	Rapport,R	2735	1/2-1/2	2019.06.30
Radjabov,T	2759	Rapport,R	2735	1/2-1/2	2019.07.13
Kulaots,K	2560	Rapport,R	2735	1/2-1/2	2019.07.13
Nisipeanu,LD	2672	Rapport,R	2735	1/2-1/2	2019.07.13
Ding Liren	2805	Rapport,R	2747	1/2-1/2	2019.08.10
Karjakin,Sergey	2750	Rapport,R	2747	1/2-1/2	2019.08.10
Yu Yangyi	2752	Rapport,R	2747	1/2-1/2	2019.08.13
Dominguez Perez,L	2763	Rapport,R	2747	1/2-1/2	2019.08.13
Aronian,L	2765	Rapport,R	2747	1/2-1/2	2019.08.13
Bartel,Mat	2636	Rapport,R	2752	1/2-1/2	2019.11.23
Erdos,V	2613	Rapport,R	2752	1/2-1/2	2019.11.16
Rapport, R.	2700	Berkes, F.	2662	1/2-1/2	2018.01.02
Rapport, R.	2700	Jobava, Ba	2690	1/2-1/2	2018.01.02
Rapport, R.	2700	Korobov, A.	2652	1/2-1/2	2018.01.02
Rapport, R.	2700	Mikhalevski, V.	2538	1/2-1/2	2018.01.23
Rapport, R.	2700	Aronian, L.	2797	0-1	2018.02.01
Rapport, R.	2715	Moradiabadi, E.	2535	1/2-1/2	2018.03.06
Rapport, R.	2715	Nihal, Sarin	2534	1/2-1/2	2018.03.06
Rapport, R.	2715	Stefansson, H.	2533	1/2-1/2	2018.03.06
Rapport, R.	2715	Keymer, Vincent	2403	0-1	2018.03.29
Rapport, R.	2715	Lagarde, Max	2587	1/2-1/2	2018.03.29
Rapport, R.	2686	Lupulescu, C.	2620	1/2-1/2	2017.10.21
Rapport, R.	2686	Bluebaum, M.	2643	1-0	2017.10.21
Rapport, R.	2719	Kravtsiv, M.	2654	1/2-1/2	2018.08.07
Rapport, R.	2719	Andersen, Mad	2601	1-0	2018.08.07
Rapport, R.	2719	Samhouri, A.	2348	1-0	2018.08.07
Rapport, R.	2719	Tabatabaei, M.	2590	1-0	2018.08.07
Rapport, R.	2719	Nihal, Sarin	2556	1-0	2018.08.07
Rapport, Richard	2726	Gajewski, Grzegorz	2595	1-0	2018.11.24
Rapport, Richard	2726	Areshchenko, Alexander	2652	1-0	2018.11.10
Rapport, Richard	2725	Paehtz, Elisabeth	2513	1-0	2018.10.20
Rapport, Richard	2725	Xiong, Jeffery	2656	0-1	2018.10.20
Rapport,R	2726	Jakubiec,A	2508	1-0	2018.11.24
Rapport,R	2726	L'Ami,E	2644	1-0	2018.11.24
Rapport,R	2726	Coenen,M	2364	1-0	2018.11.24
Rapport,R	2736	Turner,Ma	2524	1-0	2018.11.10
Mesaros, Florian	2406	Rapport, R.	2700	0-1	2018.01.02
Stella, A.	2511	Rapport, R.	2700	0-1	2018.01.02
Martins, Dav	2392	Rapport, R.	2700	0-1	2018.01.02
Khotenashvili, B.	2486	Rapport, R.	2700	0-1	2018.01.23
Aronian, L.	2797	Rapport, R.	2700	1-0	2018.02.01
Friedel, J.	2562	Rapport, R.	2715	0-1	2018.03.06
Hamitevici, V.	2512	Rapport, R.	2715	0-1	2018.03.06
Cornette, Deimante	2447	Rapport, R.	2715	0-1	2018.03.06
Adhiban, Baskaran	2650	Rapport, R.	2715	1-0	2018.03.06
Neukirchner, Pascal	2285	Rapport, R.	2715	0-1	2018.03.29
Lobron, E.	2503	Rapport, R.	2715	0-1	2018.03.29
Laznicka, V.	2654	Rapport, R.	2686	0-1	2017.10.21
Pinter, J.	2539	Rapport, R.	2707	0-1	2017.11.25
Saduakassova, D.	2495	Rapport, R.	2719	0-1	2018.08.07
Korobov, A.	2664	Rapport, R.	2719	1-0	2018.08.07
Donchenko, Alexander	2610	Rapport, Richard	2725	0-1	2018.10.20
Kindermann, Stefan	2500	Rapport, Richard	2726	0-1	2018.11.24
Krishna, C R G	2445	Rapport, Richard	2725	0-1	2018.10.20
Meier, Georg	2639	Rapport, Richard	2725	0-1	2018.10.20
