White	White ELO	Black	Black ELO	Result	Date
So, Wesley	2814	Guseinov, Gadir	2581	1-0	2022.02.19
So, Wesley	2814	Martirosyan, Haik M.	2735	1-0	2022.02.19
So, Wesley	2814	Sjugirov, Sanan	2602	1-0	2022.02.26
So, Wesley	2814	Martirosyan, Haik M.	2735	1-0	2022.02.26
So, Wesley	2814	Le, Quang Liem	2686	1-0	2022.02.26
So, Wesley	2814	Fedoseev, Vladimir	2726	1-0	2022.03.12
So, Wesley	2814	Sarana, Alexey	2666	1-0	2022.03.12
So, Wesley	2814	Tabatabaei, M. Amin	2585	1-0	2022.03.05
So, Wesley	2814	Kosteniuk, Alexandra	2469	1-0	2022.03.05
So, Wesley	2769	Dubov, Daniil	2712	1-0	2022.03.13
So, Wesley	2814	Sadhwani, Raunak	2616	1-0	2022.03.12
So, Wesley	2814	Donchenko, Alexander	2539	1-0	2022.03.19
So, Wesley	2814	Grischuk, Alexander	2762	1-0	2022.04.09
So, Wesley	2814	Ponkratov, Pavel	2487	1-0	2022.04.09
So, Wesley	2814	Oparin, Grigoriy	2685	1-0	2022.02.12
So, Wesley	2814	Keymer, Vincent	2557	1-0	2022.02.12
So, Wesley	2814	Van Foreest, Jorden	2609	1-0	2022.02.12
So, Wesley	2763	Tari, Aryan	2612	1-0	2022.07.16
So, Wesley	2763	Jumabayev, Rinat	2561	1-0	2022.07.16
So, Wesley	2779	Esipenko, Andrey	2679	1-0	2022.07.17
So, Wesley	2773	Miguel, Sergio	2274	1-0	2022.07.29
So, Wesley	2773	Sindarov, Javokhir	2629	1-0	2022.08.01
So, Wesley	2773	Melkumyan, Hrant	2634	1-0	2022.08.05
So, Wesley	2763	Eljanov, Pavel	2601	1-0	2022.08.13
So, Wesley	2763	Oparin, Grigoriy	2639	1-0	2022.08.13
So, Wesley	2770	Carlsen, Magnus	2862	1-0	Sat Feb 06 2021
So, Wesley	2770	Dubov, Daniil	2710	1-0	Sat Feb 06 2021
So, Wesley	2770	Shankland, Sam	2691	1-0	Sun Feb 07 2021
So, Wesley	2770	Duda, Jan-Krzysztof	2743	1-0	Sun Feb 07 2021
So, Wesley	2770	Duda, Jan-Krzysztof	2743	1-0	Tue Feb 09 2021
So, Wesley	2770	Duda, Jan-Krzysztof	2743	1-0	Wed Feb 10 2021
So, Wesley	2770	Radjabov, Teimour	2765	1-0	Thu Feb 11 2021
So, Wesley	2770	Radjabov, Teimour	2765	1-0	Thu Feb 11 2021
So, Wesley	2770	Carlsen, Magnus	2862	1-0	Sat Feb 13 2021
So, Wesley	2770	Carlsen, Magnus	2862	1-0	Sun Feb 14 2021
So, Wesley	2770	Aronian, Levon	2781	1-0	Sun Mar 14 2021
So, Wesley	2770	Grandelius, Nils	2670	1-0	Mon Mar 15 2021
So, Wesley	2770	Firouzja, Alireza	2759	1-0	Tue Mar 16 2021
So, Wesley	2770	Firouzja, Alireza	2759	1-0	Wed Mar 17 2021
So, Wesley	2770	Mamedyarov, Shakhriyar	2770	1-0	Sat Apr 24 2021
So, Wesley	2770	Aronian, Levon	2781	1-0	Tue Apr 27 2021
So, Wesley	2770	Christiansen, Johan-Sebastian	2618	1-0	Mon Apr 26 2021
So, Wesley	2770	Vidit, Santosh Gujrathi	2726	1-0	Sun Apr 25 2021
So, Wesley	2770	Tari, Aryan	2639	1-0	Mon Apr 26 2021
So, Wesley	2770	Grischuk, Alexander	2776	1-0	Sun May 23 2021
So, Wesley	2741	Vachier-Lagrave, Maxime	2860	1-0	Wed May 26 2021
So, Wesley	2741	Carlsen, Magnus	2881	1-0	Sun May 30 2021
So, Wesley	2741	Carlsen, Magnus	2881	1-0	Mon May 31 2021
Bharath, Subramaniyam H	2346	So, Wesley	2763	1/2-1/2	2022.09.27
Wojtaszek, Radoslaw	2606	So, Wesley	2763	1/2-1/2	2022.09.27
So, Wesley	2770	Caruana, Fabiano	2820	1-0	2021.06.08
So, Wesley	2741	Rapport, Richard	2727	1-0	2021.06.18
So, Wesley	2741	Vachier-Lagrave, Maxime	2860	1-0	2021.06.20
So, Wesley	2816	Aronian, Levon	2739	1-0	2021.06.22
So, Wesley	2816	Vachier-Lagrave, Maxime	2822	1-0	2021.06.22
So, Wesley	2816	Firouzja, Alireza	2770	1-0	2021.06.22
So, Wesley	2816	Radjabov, Teimour	2757	1-0	2021.06.21
So, Wesley	2741	Duda, Jan-Krzysztof	2774	1-0	2021.06.26
So, Wesley	2741	Artemiev, Vladislav	2757	1-0	2021.06.27
So, Wesley	2741	Carlsen, Magnus	2881	1-0	2021.06.29
So, Wesley	2741	Carlsen, Magnus	2881	1-0	2021.06.30
So, Wesley	2774	Aronian, Levon	2761	1-0	2021.07.31
So, Wesley	2774	Artemiev, Vladislav	2757	1-0	2021.08.01
So, Wesley	2774	Anton Guijarro, David	2674	1-0	2021.08.01
So, Wesley	2774	Iturrizaga Bonelli, Eduardo	2647	1-0	2021.07.31
So, Wesley	2774	Van Foreest, Jorden	2543	1-0	2021.08.03
So, Wesley	2774	Koneru, Humpy	2483	1-0	2021.08.02
So, Wesley	2774	Van Foreest, Jorden	2563	1-0	2021.08.04
So, Wesley	2774	Artemiev, Vladislav	2757	1-0	2021.08.05
So, Wesley	2774	Artemiev, Vladislav	2757	1-0	2021.08.06
So, Wesley	2774	Le, Quang Liem	2744	1-0	2021.08.07
So, Wesley	2774	Le, Quang Liem	2744	1-0	2021.08.07
So, Wesley	2774	Shankland, Sam	2609	1-0	2021.08.11
So, Wesley	2861	Mamedyarov, Shakhriyar	2755	1-0	2021.08.14
So, Wesley	2861	Xiong, Jeffery	2724	1-0	2021.08.14
So, Wesley	2861	Svidler, Peter	2743	1-0	2021.08.15
So, Wesley	2861	Dominguez Perez, Leinier	2654	1-0	2021.08.15
So, Wesley	2861	Shankland, Sam	2704	1-0	2021.08.15
So, Wesley	2772	Svidler, Peter	2714	1-0	2021.08.19
So, Wesley	2774	Vidit, Santosh Gujrathi	2636	1-0	2021.08.28
So, Wesley	2774	Liang, Awonder	2397	1-0	2021.08.30
So, Wesley	2774	Van Foreest, Jorden	2563	1-0	2021.08.30
So, Wesley	2774	Hansen, Eric	2579	1-0	2021.08.29
So, Wesley	2774	Dominguez Perez, Leinier	2786	1-0	2021.08.29
