White	White ELO	Black	Black ELO	Result	Date
Radjabov, Teimour	2705	Vachier-Lagrave, Maxime	2813	1-0	2022.06.03
Carlsen, Magnus	2832	Vachier-Lagrave, Maxime	2813	1-0	2022.06.09
Vachier-Lagrave, Maxime	2750	Mamedyarov, Shakhriyar	2770	1/2-1/2	2022.06.01
Anand, Viswanathan	2751	Vachier-Lagrave, Maxime	2750	1-0	2022.05.31
Vachier-Lagrave, Maxime	2758	Seel, Christian, Dr.	2484	1/2-1/2	2022.04.09
Vachier-Lagrave, Maxime	2760	Gharamian, Tigran	2602	1/2-1/2	2022.06.14
Acosta, Pablo Ismael	2313	Vachier-Lagrave, Maxime	2813	1-0	2022.06.14
Vachier-Lagrave, Maxime	2760	Fressinet, Laurent	2624	1/2-1/2	2022.06.19
Nakamura, Hikaru	3155	Vachier-Lagrave, Maxime	3021	1-0	2022.06.28
Vachier-Lagrave, Maxime	2813	Xiong, Jeffery	2727	1/2-1/2	2022.03.12
Vachier-Lagrave, Maxime	2813	Nakamura, Hikaru	2850	1/2-1/2	2022.03.13
Nakamura, Hikaru	2850	Vachier-Lagrave, Maxime	2813	1-0	2022.03.13
Vachier-Lagrave, Maxime	2813	Esipenko, Andrey	2617	1/2-1/2	2022.04.23
Vachier-Lagrave, Maxime	2763	Shankland, Sam	2616	1/2-1/2	2022.08.27
Vachier-Lagrave, Maxime	2812	Xiong, Jeffery	2714	1/2-1/2	2022.08.29
Vachier-Lagrave, Maxime	2812	Shankland, Sam	2645	1/2-1/2	2022.08.29
Vachier-Lagrave, Maxime	2812	Mamedyarov, Shakhriyar	2710	1/2-1/2	2022.08.30
Vachier-Lagrave, Maxime	2812	Nepomniachtchi, Ian	2791	1/2-1/2	2022.08.30
Vachier-Lagrave, Maxime	2812	Firouzja, Alireza	2795	1/2-1/2	2022.08.30
Vachier-Lagrave, Maxime	2757	So, Wesley	2773	1/2-1/2	2022.09.03
Vachier-Lagrave, Maxime	2757	Nepomniachtchi, Ian	2792	1/2-1/2	2022.09.06
Vachier-Lagrave, Maxime	2757	Niemann, Hans Moke	2688	1/2-1/2	2022.09.09
Vachier-Lagrave, Maxime	2757	Firouzja, Alireza	2778	1/2-1/2	2022.09.11
Vachier-Lagrave, Maxime	2775	Iturrizaga Bonelli, Eduardo	2645	1/2-1/2	2022.09.15
Vachier-Lagrave, Maxime	2775	Sevian, Samuel	2569	1/2-1/2	2022.09.21
Radjabov, Teimour	2765	Vachier-Lagrave, Maxime	2784	1-0	Sat Feb 13 2021
Radjabov, Teimour	2765	Vachier-Lagrave, Maxime	2784	1-0	Sun Feb 14 2021
Carlsen, Magnus	2847	Vachier-Lagrave, Maxime	2758	1-0	Sat Mar 13 2021
Nepomniachtchi, Ian	2789	Vachier-Lagrave, Maxime	2758	1-0	Sun Mar 14 2021
Giri, Anish	2776	Vachier-Lagrave, Maxime	2758	1-0	Wed Mar 17 2021
Giri, Anish	2776	Vachier-Lagrave, Maxime	2758	1-0	Wed Mar 17 2021
Caruana, Fabiano	2820	Vachier-Lagrave, Maxime	2758	1-0	Mon Apr 19 2021
Grischuk, Alexander	2777	Vachier-Lagrave, Maxime	2758	1-0	Fri Apr 23 2021
Mamedyarov, Shakhriyar	2770	Vachier-Lagrave, Maxime	2760	1-0	Mon May 24 2021
So, Wesley	2741	Vachier-Lagrave, Maxime	2860	1-0	Wed May 26 2021
Giri, Anish	2780	Vachier-Lagrave, Maxime	2760	1-0	2021.06.12
Svidler, Peter	2742	Vachier-Lagrave, Maxime	2860	1-0	2021.06.18
So, Wesley	2741	Vachier-Lagrave, Maxime	2860	1-0	2021.06.20
So, Wesley	2816	Vachier-Lagrave, Maxime	2822	1-0	2021.06.22
Firouzja, Alireza	2770	Vachier-Lagrave, Maxime	2822	1-0	2021.06.21
Mamedyarov, Shakhriyar	2761	Vachier-Lagrave, Maxime	2831	1-0	2021.07.07
Giri, Anish	2744	Vachier-Lagrave, Maxime	2794	1-0	2021.07.10
Paravyan, David	2634	Vachier-Lagrave, Maxime	2831	1-0	2021.07.20
Dominguez Perez, Leinier	2758	Vachier-Lagrave, Maxime	2751	1-0	2021.08.20
Aronian, Levon	2761	Vachier-Lagrave, Maxime	2817	1-0	2021.08.28
Firouzja, Alireza	2696	Vachier-Lagrave, Maxime	2817	1-0	2021.08.30
Duda, Jan-Krzysztof	2775	Vachier-Lagrave, Maxime	2817	1-0	2021.08.30
